row_label_raw,row_label_full,Ông Truong Gia Bình,Chủ tịch,numeric__Chủ tịch
Ông Bùi Quang Ngọc,Ông Bùi Quang Ngọc,Ông Bùi Quang Ngọc,Phó chủ tịch,
Ông Đỗ Cao Bảo,Ông Đỗ Cao Bảo,Ông Đỗ Cao Bảo,Ủy viên,
Ông Jean-Charles Belliol,Ông Jean-Charles Belliol,Ông Jean-Charles Belliol,Ủy viên,
Ông Hiroshi Yokotsaka,Ông Hiroshi Yokotsaka,Ông Hiroshi Yokotsaka,Ủy viên,
Ông Hampapur Rangadore Binod,Ông Hampapur Rangadore Binod,Ông Hampapur Rangadore Binod,Ủy viên,
Bà Trần Thị Hồng Lĩnh,Bà Trần Thị Hồng Lĩnh,Bà Trần Thị Hồng Lĩnh,Ủy viên,
