row_label_raw,row_label_full,STT,Họ và tên,Chức danh,2023 VND,2022 VND,numeric__Họ và tên,numeric__Chức danh,numeric__2023 VND,numeric__2022 VND
,,,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,,,,
1,1,1,Ông Trương Gia Bình,Chú tịch,-,-,,,,
2,2,2,Ông Bùi Quang Ngọc,Phó Chủ tịch,-,-,,,,
3,3,3,Ông Đỗ Cao Bảo,Ủy viên,-,-,,,,
4,3 > 4,4,Ông Jean Charles Belliol,Ủy viên,960.000.000,870.000.000,,,960000000.0,870000000.0
5,3 > 5,5,Bà Trần Thị Hồng Lĩnh,Ủy viên(từ ngày 7/4/2022),360.000.000,270.000.000,,,360000000.0,270000000.0
6,3 > 6,6,Ông Hiroshi Yokotsuka,Ủy viên(từ ngày 7/4/2022),2.389.250.000,1.758.750.000,,,2389250000.0,1758750000.0
7,3 > 7,7,Ông HampapurRangadore Binod,Ủy viên(từ ngày 7/4/2022),2.389.250.000,1.758.750.000,,,2389250000.0,1758750000.0
8,3 > 8,8,Ông Lê Song Lai,Ủy viên(đến ngày 7/4/2022),-,66.000.000,,,,66000000.0
9,3 > 9,9,Ông TomokazuHamaguchi,Ủy viên(đến ngày 7/4/2022),-,574.375.000,,,,574375000.0
10,3 > 10,10,Ông Dan E Khoo,Ủy viên(đến ngày 7/4/2022),-,574.375.000,,,,574375000.0
,,,,,6.098.500.000,5.872.250.000,,,6098500000.0,5872250000.0
,,,Thù lao thành viên Ban Kiểm soát,Thù lao thành viên Ban Kiểm soát,Thù lao thành viên Ban Kiểm soát,Thù lao thành viên Ban Kiểm soát,,,,
1,3 > 1,1,Ông Nguyễn Việt Thắng,Trường ban,716.800.000,614.400.000,,,716800000.0,614400000.0
2,3 > 2,2,Ông Nguyễn Khải Hoàn,Thành viên,369.600.000,316.800.000,,,369600000.0,316800000.0
3,3 > 3,3,Bà Dương Thủy Dương,Thành viên(từ ngày 7/4/2022),369.600.000,237.600.000,,,369600000.0,237600000.0
4,3 > 4,4,Bà Nguyễn Thị Kim Anh,Thành viên(đến ngày 7/4/2022),-,79.200.000,,,,79200000.0
,,,,,1.456.000.000,1.248.000.000,,,1456000000.0,1248000000.0
,,,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác,Tiền lương của Tổng Giám đốc và người quản lý chủ chốt khác,,,,
1,3 > 1,1,Ông Nguyễn Văn Khoa,Tổng Giám đốc,4.400.000.000,4.160.000.000,,,4400000000.0,4160000000.0
2,3 > 2,2,Ông Nguyễn Thế Phương,Phó Tổng Giám đốc,3.490.000.000,3.250.000.000,,,3490000000.0,3250000000.0
3,3 > 3,3,Ông Hoàng Việt Anh,Phó Tổng Giám đốc,3.236.360.000,2.600.000.000,,,3236360000.0,2600000000.0
4,3 > 4,4,Ông Hoàng Hữu Chiến,Kế toán trường,2.060.000.000,1.820.000.000,,,2060000000.0,1820000000.0
5,3 > 5,5,Bà Mai Thị Lan Anh,Phụ trách Công bốthông tin (từ ngày7/4/2022),832.000.000,572.000.000,,,832000000.0,572000000.0
6,3 > 6,6,Ông Dương Hoàng Phú,Phụ trách Công bốthông tin (đến ngày7/4/2022),-,124.059.524,,,,124059524.0
,,,,,14.018.360.000,12.526.059.524,,,14018360000.0,12526059524.0
