row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,Tại ngày 1 tháng 1 năm 2022,9.075.516.490.000,49.941.441.360,(823.760.000),103.009.261,87.203.093.024,3.189.818.106.816,12.401.758.380.461,9075516490000.0,49941441360.0,-823760000.0,103009261.0,87203093024.0,3189818106816.0,12401758380461.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,66.442.650.000,-,823.760.000,-,-,-,67.266.410.000,66442650000.0,,823760000.0,,,,67266410000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.136.285.036.817,3.136.285.036.817,,,,,,3136285036817.0,3136285036817.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,1.828.306.580.000,-,-,-,-,(1.828.306.580.000),-,1828306580000.0,,,,,-1828306580000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,(2.011.222.486.000),(2.011.222.486.000),,,,,,-2011222486000.0,-2011222486000.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,10.970.265.720.000,49.941.441.360,-,103.009.261,87.203.093.024,2.486.574.077.633,13.594.087.341.278,10970265720000.0,49941441360.0,,103009261.0,87203093024.0,2486574077633.0,13594087341278.0
Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),Phát hành cổ phiếu (i),73.050.500.000,-,-,-,-,-,73.050.500.000,73050500000.0,,,,,,73050500000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.744.012.412.441,6.744.012.412.441,,,,,,6744012412441.0,6744012412441.0
Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),Chia cổ tức bằng cổ phiếu (ii),1.656.372.530.000,-,-,-,-,(1.656.372.530.000),-,1656372530000.0,,,,,-1656372530000.0,
Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),-,-,-,-,-,(2.374.300.497.000),(2.374.300.497.000),,,,,,-2374300497000.0,-2374300497000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,12.699.688.750.000,49.941.441.360,-,103.009.261,87.203.093.024,5.199.913.463.074,18.036.849.756.719,12699688750000.0,49941441360.0,,103009261.0,87203093024.0,5199913463074.0,18036849756719.0
