row_label_raw,row_label_full,Ông Nguyễn Văn Khoa,Tổng Giám đốc,numeric__Tổng Giám đốc
Ông Nguyễn Thế Phương,Ông Nguyễn Thế Phương,Ông Nguyễn Thế Phương,Phó Tổng Giám đốc,
Ông Hoàng Việt Anh,Ông Hoàng Việt Anh,Ông Hoàng Việt Anh,Phó Tổng Giám đốc,
