row_label_raw,row_label_full,i),Phải thu ngắn hạn của khách hàng (Thuyết minh 5),31/12/2023VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),31/12/2022VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__31/12/2023VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5),numeric__31/12/2022VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 5)
i),i),i),Công ty TNHH Phần mềm FPT,31.827.582.736,24.956.248.454,,31827582736.0,24956248454.0
i),i),i),Công ty Cổ phần Viễn Thông FPT,24.037.049.489,21.875.373.287,,24037049489.0,21875373287.0
i),i),i),Công ty TNHH Hệ thống Thông tin FPT,9.986.565.729,7.261.766.468,,9986565729.0,7261766468.0
i),i),i),Công ty TNHH FPT Smart Cloud,4.014.535.606,302.193.634,,4014535606.0,302193634.0
i),i),i),Công ty TNHH FPT Digital,2.806.937.504,2.500.000,,2806937504.0,2500000.0
i),i),i),Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,2.680.080.835,4.640.817.908,,2680080835.0,4640817908.0
i),i),i),Công ty Cổ phần Synnex FPT,761.190.396,1.709.106.610,,761190396.0,1709106610.0
i),i),i),Công ty TNHH Giáo dục FPT,477.868.415,1.712.161.053,,477868415.0,1712161053.0
i),i),i),Công ty Cổ phần Dịch vụ Trực tuyến FPT,80.594.693,66.193.994,,80594693.0,66193994.0
i),i),i),Công ty TNHH Đầu tư FPT,3.864.328,960.120,,3864328.0,960120.0
i),i),i),,76.676.269.731,62.527.321.528,,76676269731.0,62527321528.0
ii),ii),ii),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),,,
ii),ii) > ii),ii),Công ty TNHH Đầu tư FPT,156.400.000.000,347.900.000.000,,156400000000.0,347900000000.0
ii),ii) > ii),ii),Công ty TNHH FPT Smart Cloud,85.000.000.000,75.000.000.000,,85000000000.0,75000000000.0
ii),ii) > ii),ii),Công ty TNHH FPT Digital,9.500.000.000,-,,9500000000.0,
ii),ii) > ii),ii),,250.900.000.000,422.900.000.000,,250900000000.0,422900000000.0
iii),iii),iii),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7),Cổ tức/phân phối lợi nhuận phải thu (Thuyết minh 7),,,
iii),iii) > iii),iii),Công ty TNHH Phần mềm FPT,1.700.000.000.000,933.000.000.000,,1700000000000.0,933000000000.0
iii),iii) > iii),iii),Công ty TNHH Giáo dục FPT,1.500.000.000.000,100.000.000.000,,1500000000000.0,100000000000.0
iii),iii) > iii),iii),Công ty TNHH Hệ thống Thông tin FPT,300.000.000.000,-,,300000000000.0,
iii),iii) > iii),iii),,3.500.000.000.000,1.033.000.000.000,,3500000000000.0,1033000000000.0
iv),iv),iv),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),,,
iv),iv) > iv),iv),Công ty TNHH Hệ thống Thông tin FPT,134.899.329.954,134.899.329.954,,134899329954.0,134899329954.0
iv),iv) > iv),iv),Công ty TNHH Đầu tư FPT,53.418.636.684,56.510.351.494,,53418636684.0,56510351494.0
iv),iv) > iv),iv),Công ty TNHH FPT Smart Cloud,420.472.599,1.488.167.124,,420472599.0,1488167124.0
iv),iv) > iv),iv),Công ty TNHH FPT Digital,65.784.247,-,,65784247.0,
iv),iv) > iv),iv),,188.804.223.484,192.897.848.572,,188804223484.0,192897848572.0
