row_label_raw,row_label_full,Másố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Másố,Másố,Másố,,Thuyếtminh,2023VND,2022VND,,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,6.728.849.805.890,6.728.849.805.890,3.115.152.613.533,,6728849805890.0,6728849805890.0,3115152613533.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khấu hao tài sản cố định (""TSCĐ"")",139.414.405.729,139.414.405.729,131.420.857.352,,139414405729.0,139414405729.0,131420857352.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,(Hoàn nhập)/tăng các khoản dự phòng,(20.483.281.846),(20.483.281.846),8.199.701.122,,-20483281846.0,-20483281846.0,8199701122.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có góc ngoại tệ,116.275.752,116.275.752,90.952.813,,116275752.0,116275752.0,90952813.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(7.416.350.033.579),(7.416.350.033.579),(3.639.587.620.851),,-7416350033579.0,-7416350033579.0,-3639587620851.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,338.376.949.533,338.376.949.533,241.666.859.099,,338376949533.0,338376949533.0,241666859099.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lỗ từ hoạt động kinh doanh trước những thayđổi vốn lưu động,(230.075.878.521),(230.075.878.521),(143.056.636.932),,-230075878521.0,-230075878521.0,-143056636932.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,(Tăng)/giảm các khoản phải thu,(15.891.547.507),(15.891.547.507),29.331.784.119,,-15891547507.0,-15891547507.0,29331784119.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,(Tăng)/giảm hàng tồn kho,(215.869.091),(215.869.091),592.398.000,,-215869091.0,-215869091.0,592398000.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng các khoản phải trả,302.409.001.610,302.409.001.610,264.518.358.132,,302409001610.0,302409001610.0,264518358132.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Tăng chi phí trả trước,(1.987.914.941),(1.987.914.941),(2.365.372.260),,-1987914941.0,-1987914941.0,-2365372260.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(330.620.219.083),(330.620.219.083),(234.034.366.684),,-330620219083.0,-330620219083.0,-234034366684.0
17,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,(5.584.770.111),(5.584.770.111),(31.387.795.758),,-5584770111.0,-5584770111.0,-31387795758.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(281.967.197.644),(281.967.197.644),(116.401.631.383),,-281967197644.0,-281967197644.0,-116401631383.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",(160.847.466.994),(160.847.466.994),(200.256.348.899),,-160847466994.0,-160847466994.0,-200256348899.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",134.375.189,134.375.189,125.391.320,,134375189.0,134375189.0,125391320.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",(11.056.500.000.000),(11.056.500.000.000),(12.363.160.859.331),,-11056500000000.0,-11056500000000.0,-12363160859331.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",10.216.361.859.331,10.216.361.859.331,12.811.824.000.000,,10216361859331.0,10216361859331.0,12811824000000.0
25,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,(2.100.000.000.000),(2.100.000.000.000),(1.550.000.000.000),,-2100000000000.0,-2100000000000.0,-1550000000000.0
27,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",4.916.794.963.637,4.916.794.963.637,3.489.456.939.281,,4916794963637.0,4916794963637.0,3489456939281.0
30,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,1.815.943.731.163,1.815.943.731.163,2.187.989.122.371,,1815943731163.0,1815943731163.0,2187989122371.0
