row_label_raw,row_label_full,Vay bên liên quan (i)(Thuyết minh 25(b)),Tại ngày1/1/2023VND > 4.025.000.000.000,Chuyển từvay dài hạnVND > -,Giải ngânVND > 12.369.850.000.000,Thanh toánVND > (10.669.850.000.000),Tại ngày31/12/2023VND > 5.725.000.000.000,numeric__Tại ngày1/1/2023VND > 4.025.000.000.000,numeric__Chuyển từvay dài hạnVND > -,numeric__Giải ngânVND > 12.369.850.000.000,numeric__Thanh toánVND > (10.669.850.000.000),numeric__Tại ngày31/12/2023VND > 5.725.000.000.000
Vay ngân hàng (ii),Vay ngân hàng (ii),Vay ngân hàng (ii),-,1.099.205.700.000,-,-,1.099.205.700.000,,1099205700000.0,,,1099205700000.0
,,,4.025.000.000.000,1.099.205.700.000,12.369.850.000.000,(10.669.850.000.000),6.824.205.700.000,4025000000000.0,1099205700000.0,12369850000000.0,-10669850000000.0,6824205700000.0
