row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,1.880.234.484.866,277.684.670.591,15.214.410.455,77.275.674.920,2.805.687.711,2.253.214.928.543,1880234484866.0,277684670591.0,15214410455.0,77275674920.0,2805687711.0,2253214928543.0
Chuyển từ chi phí xây dựng cơ bánđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bánđở dang,Chuyển từ chi phí xây dựng cơ bánđở dang,243.154.429.279,-,-,-,-,243.154.429.279,243154429279.0,,,,,243154429279.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,15.546.951.363,-,8.383.860.000,1.794.744.330,-,25.725.555.693,15546951363.0,,8383860000.0,1794744330.0,,25725555693.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(168.947.188),-,(2.203.965.212),(231.075.091),(2.603.987.491),,-168947188.0,,-2203965212.0,-231075091.0,-2603987491.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(10.648.325.455),-,-,-,-,(10.648.325.455),-10648325455.0,,,,,-10648325455.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,2.128.287.540.053,277.515.723.403,23.598.270.455,76.866.454.038,2.574.612.620,2.508.842.600.569,2128287540053.0,277515723403.0,23598270455.0,76866454038.0,2574612620.0,2508842600569.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,(158.357.949.772),(68.687.481.233),(11.877.676.132),(64.567.084.234),(1.637.251.412),(305.127.442.783),-158357949772.0,-68687481233.0,-11877676132.0,-64567084234.0,-1637251412.0,-305127442783.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(80.776.365.128),(24.909.548.725),(1.738.554.234),(7.041.260.353),(881.155.473),(115.346.883.913),-80776365128.0,-24909548725.0,-1738554234.0,-7041260353.0,-881155473.0,-115346883913.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,168.947.188,-,2.078.918.342,231.075.091,2.478.940.621,,168947188.0,,2078918342.0,231075091.0,2478940621.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,(239.134.314.900),(93.428.082.770),(13.616.230.366),(69.529.426.245),(2.287.331.794),(417.995.386.075),-239134314900.0,-93428082770.0,-13616230366.0,-69529426245.0,-2287331794.0,-417995386075.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,1.721.876.535.094,208.997.189.358,3.336.734.323,12.708.590.686,1.168.436.299,1.948.087.485.760,1721876535094.0,208997189358.0,3336734323.0,12708590686.0,1168436299.0,1948087485760.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,1.889.153.225.153,184.087.640.633,9.982.040.089,7.337.027.793,287.280.826,2.090.847.214.494,1889153225153.0,184087640633.0,9982040089.0,7337027793.0,287280826.0,2090847214494.0
