row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua Triệu VND,Các điều chỉnh giá trị hợp lý Triệu VND,Giá trị ghi nhận tại thời điểm mua Triệu VND,numeric__Giá trị ghi số trước thời điểm mua Triệu VND,numeric__Các điều chỉnh giá trị hợp lý Triệu VND,numeric__Giá trị ghi nhận tại thời điểm mua Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,940.190,-,940.190,940190.0,,940190.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,1.801.499,(27.103),1.774.396,1801499.0,-27103.0,1774396.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,802.500,-,802.500,802500.0,,802500.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,1.644.135,2.426.235,4.070.370,1644135.0,2426235.0,4070370.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,68.442,3.372.981,3.441.423,68442.0,3372981.0,3441423.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,1.061.461,199.528,1.260.989,1061461.0,199528.0,1260989.0
Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,(1.256.974),-,(1.256.974),-1256974.0,,-1256974.0
Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,(5.947.133),(1.671.344),(7.618.477),-5947133.0,-1671344.0,-7618477.0
Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,50.670,(99.962),(49.292),50670.0,-99962.0,-49292.0
Tài sản và nợ phai trả thuần có thể xác định được,Tài sản và nợ phai trả thuần có thể xác định được,Tài sản và nợ phai trả thuần có thể xác định được,(835.210),4.200.335,3.365.125,-835210.0,4200335.0,3365125.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,,,3.230.198,,,3230198.0
Lợi thế thương mại âm phát sinh từ hợp nhất kinh doanh (Thuyết minh 32),Lợi thế thương mại âm phát sinh từ hợp nhất kinh doanh (Thuyết minh 32),Lợi thế thương mại âm phát sinh từ hợp nhất kinh doanh (Thuyết minh 32),,,(1.341.633),,,-1341633.0
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,,,1.888.565,,,1888565.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,
Tổng khoản thanh toán (bao gồm phí giao dịch) cho việc mua lại,Khoản tiền thanh toán thuần > Tổng khoản thanh toán (bao gồm phí giao dịch) cho việc mua lại,Tổng khoản thanh toán (bao gồm phí giao dịch) cho việc mua lại,,,1.993.929,,,1993929.0
Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thanh toán thuần > Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,,,(940.190),,,-940190.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần > Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,1.053.739,,,1053739.0
