row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2020 Triệu VND,2019 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2020 Triệu VND,numeric__2019 Triệu VND
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,26,78.868.319,38.818.747,1.0,26.0,78868319.0,38818747.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,26,1.650.511,1.464.660,2.0,26.0,1650511.0,1464660.0
Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),Doanh thu thuần (10 = 01 - 02),10,26,77.217.808,37.354.087,10.0,26.0,77217808.0,37354087.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,11,27,59.329.111,26.412.939,11.0,27.0,59329111.0,26412939.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,17.888.697,10.941.148,20.0,,17888697.0,10941148.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,28,1.430.663,1.188.183,21.0,28.0,1430663.0,1188183.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,29,4.556.671,2.200.562,22.0,29.0,4556671.0,2200562.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,3.770.283,1.866.015,23.0,,3770283.0,1866015.0
Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,Phần lãi trong các công ty liên kết,24,7,2.640.068,2.182.410,24.0,7.0,2640068.0,2182410.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,30,13.166.087,3.994.895,25.0,30.0,13166087.0,3994895.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,31,3.040.896,2.103.408,26.0,31.0,3040896.0,2103408.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,1.195.774,6.012.876,30.0,,1195774.0,6012876.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,32,1.613.262,1.325.350,31.0,32.0,1613262.0,1325350.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,484.197,233.136,32.0,,484197.0,233136.0
Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),Kết quả từ hoạt động khác (40 = 31 - 32),40,,1.129.065,1.092.214,40.0,,1129065.0,1092214.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,2.324.839,7.105.090,50.0,,2324839.0,7105090.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,33,1.086.193,790.583,51.0,33.0,1086193.0,790583.0
Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,Lợi ích thuế TNDN hoãn lại,52,33,(156.367),(50.108),52.0,33.0,-156367.0,-50108.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52) (mang sang trang sau),60,,1.395.013,6.364.615,60.0,,1395013.0,6364615.0
