row_label_raw,row_label_full,col_0,Nhà cửaTriệu VND,Cơ sởhạ tầngTriệu VND,TổngTriệu VND,numeric__Nhà cửaTriệu VND,numeric__Cơ sởhạ tầngTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Tăng từ hợp nhất kinh doanh,Số dư đầu năm > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,18.016,612,18.628,18016.0,612.0,18628.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,18.016,612,18.628,18016.0,612.0,18628.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Khấu hao trong năm,Số dư đầu năm > Khấu hao trong năm,Khấu hao trong năm,4.049,61,4.110,4049.0,61.0,4110.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,4.049,61,4.110,4049.0,61.0,4110.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,-,,,
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,13.967,551,14.518,13967.0,551.0,14518.0
