row_label_raw,row_label_full,col_0,Tài sản khai khoáng khác Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,"Trục in, công cụ và dụng cụ Triệu VND",Lợi thế kinh doanh từ cổ phần hóa Triệu VND,Heo giống Triệu VND,Chi phí khác Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,"numeric__Trục in, công cụ và dụng cụ Triệu VND",numeric__Lợi thế kinh doanh từ cổ phần hóa Triệu VND,numeric__Heo giống Triệu VND,numeric__Chi phí khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.505.279,824.391,1.006.777,1.396.632,18.807,76.004,805.224,5.633.114,1505279.0,824391.0,1006777.0,1396632.0,18807.0,76004.0,805224.0,5633114.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,130.679,333.098,45.761,230.600,-,34.557,739.354,1.514.049,130679.0,333098.0,45761.0,230600.0,,34557.0,739354.0,1514049.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,-,131.274,-,6.719,-,-,-,137.993,,131274.0,,6719.0,,,,137993.0
Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,Chuyển từ chi phí trả trước ngắn hạn,-,559,-,11.278,-,-,1.264,13.101,,559.0,,11278.0,,,1264.0,13101.0
Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,-,-,15.607,-,-,-,-,15.607,,,15607.0,,,,,15607.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,1.290,-,-,-,1.290,,,,1290.0,,,,1290.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,385.762,-,90.476,-,15.823,93.073,585.134,,385762.0,,90476.0,,15823.0,93073.0,585134.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(108.693),(33.609),(74.060),(604.121),(3.134),(39.286),(308.436),(1.171.339),-108693.0,-33609.0,-74060.0,-604121.0,-3134.0,-39286.0,-308436.0,-1171339.0
Thanh lý/ Xóa sổ,Thanh lý/ Xóa sổ,Thanh lý/ Xóa sổ,-,-,-,(150.386),-,(28.094),(16.794),(195.274),,,,-150386.0,,-28094.0,-16794.0,-195274.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(5),-,-,-,(5),,,,-5.0,,,,-5.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.527.265,1.641.475,994.085,982.483,15.673,59.004,1.313.685,6.533.670,1527265.0,1641475.0,994085.0,982483.0,15673.0,59004.0,1313685.0,6533670.0
