row_label_raw,row_label_full,col_0,Quyền khai thác mô Triệu VND,Chi phí phục hồi môi trường mô Triệu VND,Trợ cấp thời việc Triệu VND,Trợ cấp hữu trí Triệu VND,Tổng Triệu VND,numeric__Quyền khai thác mô Triệu VND,numeric__Chi phí phục hồi môi trường mô Triệu VND,numeric__Trợ cấp thời việc Triệu VND,numeric__Trợ cấp hữu trí Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,430.392,99.122,43.930,-,573.444,430392.0,99122.0,43930.0,,573444.0
Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,-,-,-,5.946.291,5.946.291,,,,5946291.0,5946291.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,33.002,4.679,8.161,41.874,87.716,33002.0,4679.0,8161.0,41874.0,87716.0
Tái đánh giá nợ phải trả phúc lợi hữu trí (*),Tái đánh giá nợ phải trả phúc lợi hữu trí (*),Tái đánh giá nợ phải trả phúc lợi hữu trí (*),-,-,-,472.066,472.066,,,,472066.0,472066.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(73.146),-,(3.129),(69.944),(146.219),-73146.0,,-3129.0,-69944.0,-146219.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,573.040,573.040,,,,573040.0,573040.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,390.248,103.801,48.962,6.963.327,7.506.338,390248.0,103801.0,48962.0,6963327.0,7506338.0
