row_label_raw,row_label_full,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng và khác Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng và khác Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
5.095.927,5.095.927,5.095.927,13.306.627,87.490,263.878,20.337.461,156.645,39.248.028,13306627.0,87490.0,263878.0,20337461.0,156645.0,39248028.0
-,-,-,55.388,5.658,16.313,190.108,32.987,300.454,55388.0,5658.0,16313.0,190108.0,32987.0,300454.0
-,-,-,2.869.718,-,888,4.965.198,24.183,7.859.987,2869718.0,,888.0,4965198.0,24183.0,7859987.0
-,-,-,1.488.092,-,77.296,2.045.968,7.784,3.619.140,1488092.0,,77296.0,2045968.0,7784.0,3619140.0
-,-,-,223,-,956,(4.091),-,(2.912),223.0,,956.0,-4091.0,,-2912.0
-,-,-,(63.661),-,(103.598),(417.376),(12.612),(597.247),-63661.0,,-103598.0,-417376.0,-12612.0,-597247.0
-,-,-,13.568,-,(16.690),16.297,(13.175),-,13568.0,,-16690.0,16297.0,-13175.0,
-,-,-,127.829,-,-,222.369,-,350.198,127829.0,,,222369.0,,350198.0
5.095.927,5.095.927,5.095.927,17.797.784,93.148,239.043,27.355.934,195.812,50.777.648,17797784.0,93148.0,239043.0,27355934.0,195812.0,50777648.0
1.127.331,1.127.331,1.127.331,2.007.751,68.758,108.510,6.712.536,52.261,10.077.147,2007751.0,68758.0,108510.0,6712536.0,52261.0,10077147.0
-,-,-,586.645,-,-,2.819.694,,3.406.339,586645.0,,,2819694.0,,3406339.0
212.667,212.667,212.667,933.498,13.282,159.930,1.893.448,25.426,3.238.251,933498.0,13282.0,159930.0,1893448.0,25426.0,3238251.0
-,-,-,130,-,388,(2.140),,(1.622),130.0,,388.0,-2140.0,,-1622.0
-,-,-,(38.484),-,(52.530),(316.912),(12.153),(420.079),-38484.0,,-52530.0,-316912.0,-12153.0,-420079.0
-,-,-,2.201,-,(4.005),4.005,(2.201),-,2201.0,,-4005.0,4005.0,-2201.0,
-,-,-,26.910,-,-,128.938,-,155.848,26910.0,,,128938.0,,155848.0
1.339.998,1.339.998,1.339.998,3.518.651,82.040,212.293,11.239.569,63.333,16.455.884,3518651.0,82040.0,212293.0,11239569.0,63333.0,16455884.0
3.968.596,3.968.596,3.968.596,11.298.876,18.732,155.368,13.624.925,104.384,29.170.881,11298876.0,18732.0,155368.0,13624925.0,104384.0,29170881.0
3.755.929,3.755.929,3.755.929,14.279.133,11.108,26.750,16.116.365,132.479,34.321.764,14279133.0,11108.0,26750.0,16116365.0,132479.0,34321764.0
