row_label_raw,row_label_full,col_0,1/1/2020Triệu VND,Tăng từ hợp nhất kinh doanhTriệu VND,Ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtTriệu VND,Ghi nhận trong vốn chủ sở hữuTriệu VND,31/12/2020Triệu VND,numeric__1/1/2020Triệu VND,numeric__Tăng từ hợp nhất kinh doanhTriệu VND,numeric__Ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtTriệu VND,numeric__Ghi nhận trong vốn chủ sở hữuTriệu VND,numeric__31/12/2020Triệu VND
Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,185.051,(392.328),(119.148),(49.842),(376.267),185051.0,-392328.0,-119148.0,-49842.0,-376267.0
Tái đánh giá nợ phải trảphúc lợi hữu trí (*),Tái đánh giá nợ phải trảphúc lợi hữu trí (*),Tái đánh giá nợ phải trảphúc lợi hữu trí (*),-,1.372.506,-,117.950,1.490.456,,1372506.0,,117950.0,1490456.0
Lãi/(lỗ) chưa thực hiện đốivới các giao dịch nội bộ,Lãi/(lỗ) chưa thực hiện đốivới các giao dịch nội bộ,Lãi/(lỗ) chưa thực hiện đốivới các giao dịch nội bộ,19.807,-,(43.539),-,(23.732),19807.0,,-43539.0,,-23732.0
Lỗ tính thuế mang sang,Lỗ tính thuế mang sang,Lỗ tính thuế mang sang,30.527,38.261,128.238,5.481,202.507,30527.0,38261.0,128238.0,5481.0,202507.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,(676.860),(677.220),66.650,(59.617),(1.347.047),-676860.0,-677220.0,66650.0,-59617.0,-1347047.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,(1.773.297),(1.087.681),125.806,(85.633),(2.820.805),-1773297.0,-1087681.0,125806.0,-85633.0,-2820805.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,-,(1.371),571,-,(800),,-1371.0,571.0,,-800.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,-,(1.523),127,-,(1.396),,-1523.0,127.0,,-1396.0
Khác,Khác,Khác,-,22.384,(2.338),-,20.046,,22384.0,-2338.0,,20046.0
,,,(2.214.772),(726.972),156.367,(71.661),(2.857.038),-2214772.0,-726972.0,156367.0,-71661.0,-2857038.0
