row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2020TriệuVND > 149.782,Tăng từ hợp nhất kinh doanhTriệu VND > 4.884,Số phát sinh trong nămTriệu VND > 7.982.976,Số đã nộp trong nămTriệu VND > (1.529.054),Số cán trừ/phân loại lạiTriệu VND > (6.452.729),Chênh lệch quy đổi tiền tệTriệu VND > -,31/12/2020Triệu VND > 155.859,numeric__1/1/2020TriệuVND > 149.782,numeric__Tăng từ hợp nhất kinh doanhTriệu VND > 4.884,numeric__Số phát sinh trong nămTriệu VND > 7.982.976,numeric__Số đã nộp trong nămTriệu VND > (1.529.054),numeric__Số cán trừ/phân loại lạiTriệu VND > (6.452.729),numeric__Chênh lệch quy đổi tiền tệTriệu VND > -,numeric__31/12/2020Triệu VND > 155.859
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,21.366,-,371.762,(334.957),-,-,58.171,21366.0,,371762.0,-334957.0,,,58171.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,125,-,823.831,(823.142),(778),-,36,125.0,,823831.0,-823142.0,-778.0,,36.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,463.143,95.638,1.086.193,(1.029.120),34.797,9.267,659.918,463143.0,95638.0,1086193.0,-1029120.0,34797.0,9267.0,659918.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,131.358,262,443.247,(541.153),(503),-,33.211,131358.0,262.0,443247.0,-541153.0,-503.0,,33211.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,4.230,89.618,528.007,(595.893),3.975,4.170,34.107,4230.0,89618.0,528007.0,-595893.0,3975.0,4170.0,34107.0
,,,770.004,190.402,11.236.016,(4.853.319),(6.415.238),13.437,941.302,770004.0,190402.0,11236016.0,-4853319.0,-6415238.0,13437.0,941302.0
