row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmvi tínhTriệu VND,Thường hiệuTriệu VND,Quan hệkhách hàngTriệu VND,Quyền khaithác môTriệu VND,Tài nguyênnướckhoángTriệu VND,Quyền khaithác nguồnnướckhoángTriệu VND,Công nghệTriệu VND,Chi phítriển khaiTriệu VND,KhácTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmvi tínhTriệu VND,numeric__Thường hiệuTriệu VND,numeric__Quan hệkhách hàngTriệu VND,numeric__Quyền khaithác môTriệu VND,numeric__Tài nguyênnướckhoángTriệu VND,numeric__Quyền khaithác nguồnnướckhoángTriệu VND,numeric__Công nghệTriệu VND,numeric__Chi phítriển khaiTriệu VND,numeric__KhácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.946.139,633.966,2.414.898,6.040.214,588.373,412.698,72.122,669.433,-,-,14.777.843,3946139.0,633966.0,2414898.0,6040214.0,588373.0,412698.0,72122.0,669433.0,,,14777843.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,32.885,-,-,-,-,-,-,104.499,-,137.384,,32885.0,,,,,,,104499.0,,137384.0
Tăng từ hợp nhất kinh doanh,Nguyên giá > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,68.426,287.076,1.604.024,360.867,-,-,-,1.466.261,649.266,25.254,4.461.174,68426.0,287076.0,1604024.0,360867.0,,,,1466261.0,649266.0,25254.0,4461174.0
Chuyển từ xây dựng cơ bán đó dang,Nguyên giá > Chuyển từ xây dựng cơ bán đó dang,Chuyển từ xây dựng cơ bán đó dang,12.488,32.776,-,-,-,-,-,-,1.404,-,46.668,12488.0,32776.0,,,,,,,1404.0,,46668.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(12.646),(20.626),-,-,-,-,-,-,-,-,(33.272),-12646.0,-20626.0,,,,,,,,,-33272.0
Chênh lệch quy đổi tiền tệ,Nguyên giá > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,3.548,15.831,57.509,11.811,-,-,-,79.327,35.162,1.231,204.419,3548.0,15831.0,57509.0,11811.0,,,,79327.0,35162.0,1231.0,204419.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.017.955,981.908,4.076.431,6.412.892,588.373,412.698,72.122,2.215.021,790.331,26.485,19.594.216,4017955.0,981908.0,4076431.0,6412892.0,588373.0,412698.0,72122.0,2215021.0,790331.0,26485.0,19594216.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,66.128,263.420,914.107,1.002.464,158.119,95.333,20.685,636.769,-,-,3.157.025,66128.0,263420.0,914107.0,1002464.0,158119.0,95333.0,20685.0,636769.0,,,3157025.0
