row_label_raw,row_label_full,col_0,Giá trị ghi sõ trước thời điểm mua Triệu VND,Các điều chỉnh giá trị hợp lý Triệu VND,Giá trị ghi nhận tại thời điểm mua Triệu VND,numeric__Giá trị ghi sõ trước thời điểm mua Triệu VND,numeric__Các điều chỉnh giá trị hợp lý Triệu VND,numeric__Giá trị ghi nhận tại thời điểm mua Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,572.807,-,572.807,572807.0,,572807.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,50.928,-,50.928,50928.0,,50928.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,78.574,-,78.574,78574.0,,78574.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,93.092,10.156,103.248,93092.0,10156.0,103248.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,69.197,15.257,84.454,69197.0,15257.0,84454.0
Tài sản cố định hữu hình thuê tài chính – thuần,Tài sản cố định hữu hình thuê tài chính – thuần,Tài sản cố định hữu hình thuê tài chính – thuần,22.761,-,22.761,22761.0,,22761.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,-,322.659,322.659,,322659.0,322659.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,57.615,-,57.615,57615.0,,57615.0
Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,Phải trả người bán – ngắn hạn,(184.352),-,(184.352),-184352.0,,-184352.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,(70.204),-,(70.204),-70204.0,,-70204.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(30.405),-,(30.405),-30405.0,,-30405.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,(34.422),-,(34.422),-34422.0,,-34422.0
Thuẻ thu nhập hoãn lại phải trả,Thuẻ thu nhập hoãn lại phải trả,Thuẻ thu nhập hoãn lại phải trả,-,(52.211),(52.211),,-52211.0,-52211.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,625.591,295.861,921.452,625591.0,295861.0,921452.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,,,469.942,,,469942.0
Lợi thể thương mại phát sinh từ hợp nhất kinh doanh,Lợi thể thương mại phát sinh từ hợp nhất kinh doanh,Lợi thể thương mại phát sinh từ hợp nhất kinh doanh,,,144.832,,,144832.0
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,,,614.774,,,614774.0
Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,,,572.807,,,572807.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,41.967,,,41967.0
