row_label_raw,row_label_full,col_0,Giá trị ghi số trước thời điểm mua Triệu VND,Các điều chỉnh giá trị hợp lý Triệu VND,Giá trị ghi nhận tại thời điểm mua Triệu VND,numeric__Giá trị ghi số trước thời điểm mua Triệu VND,numeric__Các điều chỉnh giá trị hợp lý Triệu VND,numeric__Giá trị ghi nhận tại thời điểm mua Triệu VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,53.494,-,53.494,53494.0,,53494.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,63.500,-,63.500,63500.0,,63500.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,48.238,-,48.238,48238.0,,48238.0
Hàng tồn kho – thuần,Hàng tồn kho – thuần,Hàng tồn kho – thuần,126.318,-,126.318,126318.0,,126318.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,2.928,-,2.928,2928.0,,2928.0
Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,Tài sản cố định hữu hình – thuần,259.270,39.554,298.824,259270.0,39554.0,298824.0
Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,Tài sản cố định vô hình – thuần,183,360.954,361.137,183.0,360954.0,361137.0
Bất động sản đầu tư – thuần,Bất động sản đầu tư – thuần,Bất động sản đầu tư – thuần,11.774,6.854,18.628,11774.0,6854.0,18628.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,46.967,78.495,125.462,46967.0,78495.0,125462.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,(195.753),-,(195.753),-195753.0,,-195753.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(23.649),-,(23.649),-23649.0,,-23649.0
Nợ ngắn hạn khác,Nợ ngắn hạn khác,Nợ ngắn hạn khác,(61.108),-,(61.108),-61108.0,,-61108.0
Nợ dài hạn khác,Nợ dài hạn khác,Nợ dài hạn khác,(100),-,(100),-100.0,,-100.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,-,(97.171),(97.171),,-97171.0,-97171.0
Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,Tài sản và nợ phải trả thuần có thể xác định được,332.062,388.686,720.748,332062.0,388686.0,720748.0
Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,Tài sản thuần được hợp nhất,,,376.606,,,376606.0
Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,Lợi thế thương mại phát sinh từ hợp nhất kinh doanh,,,"188,471",,,188.471
Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,Giá phí hợp nhất kinh doanh,,,565.077,,,565077.0
Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,Khoản tiền thu được từ hợp nhất kinh doanh,,,53.494,,,53494.0
Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,Khoản tiền thanh toán thuần,,,511.583,,,511583.0
