row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2020Triệu VND,1/1/2020Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020Triệu VND,numeric__1/1/2020Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,29.760.685,24.261.892,100.0,,29760685.0,24261892.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,6,7.721.442,6.800.528,110.0,6.0,7721442.0,6800528.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,1.930.142,1.928.070,111.0,,1930142.0,1928070.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,5.791.300,4.872.458,112.0,,5791300.0,4872458.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,7,447.250,784.454,120.0,7.0,447250.0,784454.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,,-,472.134,121.0,,,472134.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,,447.250,312.320,123.0,,447250.0,312320.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,8,7.051.442,5.417.776,130.0,8.0,7051442.0,5417776.0
Phải thu của khách hàng,TÀI SẢN > Phải thu của khách hàng,Phải thu của khách hàng,131,,2.061.915,1.240.531,131.0,,2061915.0,1240531.0
Trá trước cho người bán,TÀI SẢN > Trá trước cho người bán,Trá trước cho người bán,132,,606.656,1.528.648,132.0,,606656.0,1528648.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,,1.140.000,-,135.0,,1140000.0,
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,,3.350.727,2.754.341,136.0,,3350727.0,2754341.0
Dự phòng phải thu khó đòi,TÀI SẢN > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,137,,(107.856),(105.744),137.0,,-107856.0,-105744.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,9,12.497.917,9.621.821,140.0,9.0,12497917.0,9621821.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,12.730.397,9.690.631,141.0,,12730397.0,9690631.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(232.480),(68.810),149.0,,-232480.0,-68810.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,2.042.634,1.637.313,150.0,,2042634.0,1637313.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,303.201,261.425,151.0,,303201.0,261425.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,1.663.346,1.352.367,152.0,,1663346.0,1352367.0
Thuế phải thu Nhà nước,TÀI SẢN > Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,153,17(a),76.087,23.521,153.0,,76087.0,23521.0
