row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2020 Triệu VND,1/1/2020 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2020 Triệu VND,numeric__1/1/2020 Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,25.030.279,51.888.407,400.0,,25030279.0,51888407.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,22,25.030.279,51.888.407,410.0,22.0,25030279.0,51888407.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,23,11.746.832,11.689.464,411.0,23.0,11746832.0,11689464.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,23,11.084.297,11.084.357,412.0,23.0,11084297.0,11084357.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(8.563.690),(8.563.690),414.0,,-8563690.0,-8563690.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,(226.972),11.033,417.0,,-226972.0,11033.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,(284.952),-,420.0,,-284952.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,2.182.124,28.558.952,421.0,,2182124.0,28558952.0
- Lợi nhuận sau thuế chưa phân phối lũy kếđến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kếđến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối lũy kếđến cuối năm trước,421a,,27.383.610,15.330.120,,,27383610.0,15330120.0
- (Lỗ nằm nay)/Lợi nhuận sau thuế chưa phân phối năm trước,- (Lỗ nằm nay)/Lợi nhuận sau thuế chưa phân phối năm trước,- (Lỗ nằm nay)/Lợi nhuận sau thuế chưa phân phối năm trước,421b,,(25.201.486),13.228.832,,,-25201486.0,13228832.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,9.092.640,9.108.291,429.0,,9092640.0,9108291.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,115.736.562,97.297.251,440.0,,115736562.0,97297251.0
