row_label_raw,row_label_full,col_0,2020,2020_1,2019,2019_1,numeric__2020,numeric__2020_1,numeric__2019,numeric__2019_1
,,,%,Triệu VND,%,Triệu VND,,,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,100%,2.324.839,"100,0%",7.105.090,1.0,2324839.0,1.0,7105090.0
Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,20%,464.968,"20,0%",1.421.018,0.2,464968.0,0.2,1421018.0
Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,(16%),(365.823),"(6,2%)",(432.624),,-365823.0,,-432624.0
Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,Thuế tính theo thuế suất của Công ty Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con Ảnh hưởng của các giao dịch hợp nhất,(10%),(236.323),"(1,0%)",(74.277),,-236323.0,,-74277.0
Chi phí không được khấu trừ thuế Ảnh hưởng của phần lãi trong các công ty liên kết,Chi phí không được khấu trừ thuế Ảnh hưởng của phần lãi trong các công ty liên kết,Chi phí không được khấu trừ thuế Ảnh hưởng của phần lãi trong các công ty liên kết,5%,119.951,"1,0%",78.498,0.05,119951.0,0.01,78498.0
Chi phí không được khấu trừ thuế Ảnh hưởng của phần lãi trong các công ty liên kết,Chi phí không được khấu trừ thuế Ảnh hưởng của phần lãi trong các công ty liên kết,Chi phí không được khấu trừ thuế Ảnh hưởng của phần lãi trong các công ty liên kết,(23%),(533.911),"(6,1%)",(436.482),,-533911.0,,-436482.0
Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại chưa được ghi nhận,66%,1.532.353,"3,8%",270.940,0.66,1532353.0,0.038,270940.0
Dự phòng thừa trong những năm trước,Dự phòng thừa trong những năm trước,Dự phòng thừa trong những năm trước,(2%),(50.168),"(0,9%)",(64.124),,-50168.0,,-64124.0
Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,Lỗ tính thuế đã sử dụng,"(0,1%)",(3.430),"(0,3%)",(24.160),,-3430.0,,-24160.0
Ghi giảm tài sản thuế thu nhập hoãn lại,Ghi giảm tài sản thuế thu nhập hoãn lại,Ghi giảm tài sản thuế thu nhập hoãn lại,"0,1%",2.209,-,1.686,0.001,2209.0,,1686.0
,,,"40,0%",929.826,"10,4%",740.475,0.4,929826.0,0.10400000000000001,740475.0
