row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng VND,Số cuối năm > Giá trị VND,Số đầu năm > Số lượng VND,Số đầu năm > Giá trị VND,numeric__Số cuối năm > Số lượng VND,numeric__Số cuối năm > Giá trị VND,numeric__Số đầu năm > Số lượng VND,numeric__Số đầu năm > Giá trị VND
Vàng (chỉ),Vàng (chỉ),Vàng (chỉ),28,98.615.494,230,770.583.999,28.0,98615494.0,230.0,770583999.0
Tài sản khác,Tài sản khác,Tài sản khác,-,36.762.526,-,297.310.081,,36762526.0,,297310081.0
,,,28,135.378.020,230,1.067.894.080,28.0,135378020.0,230.0,1067894080.0
