row_label_raw,row_label_full,col_0,Nhà xuống và vật kiến trúc VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,Phương tiện vận tải VND,Tổng VND,numeric__Nhà xuống và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,numeric__Phương tiện vận tải VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,128.935.217.684,183.739.233.141,39.989.830.466,17.933.850.054,370.598.131.345,128935217684.0,183739233141.0,39989830466.0,17933850054.0,370598131345.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,6.832.885.142,15.263.066.223,7.083.169.180,7.373.403.553,36.552.524.098,6832885142.0,15263066223.0,7083169180.0,7373403553.0,36552524098.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,(9.521.619.759),(977.990.000),(35.464.000),(10.535.073.759),,-9521619759.0,-977990000.0,-35464000.0,-10535073759.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,32.855.000,-,(32.855.000),-,,32855000.0,,-32855000.0,
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,135.768.102.826,189.513.534.605,46.095.009.646,25.238.934.607,396.615.581.684,135768102826.0,189513534605.0,46095009646.0,25238934607.0,396615581684.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,25.949.273.003,104.678.631.136,27.217.958.525,5.554.395.370,163.400.258.034,25949273003.0,104678631136.0,27217958525.0,5554395370.0,163400258034.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,5.514.403.393,22.486.395.163,2.709.989.649,7.263.840.140,37.974.628.345,5514403393.0,22486395163.0,2709989649.0,7263840140.0,37974628345.0
Thanh lý,GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý,Thanh lý,-,(9.494.177.302),(977.990.000),(35.464.000),(10.507.631.302),,-9494177302.0,-977990000.0,-35464000.0,-10507631302.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,32.855.000,-,(32.855.000),-,,32855000.0,,-32855000.0,
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,31.463.676.396,117.703.703.997,28.949.958.174,12.749.916.510,190.867.255.077,31463676396.0,117703703997.0,28949958174.0,12749916510.0,190867255077.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,104.304.426.430,71.809.830.608,17.145.051.472,12.489.018.097,205.748.326.607,104304426430.0,71809830608.0,17145051472.0,12489018097.0,205748326607.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,102.985.944.681,79.060.602.005,12.771.871.941,12.379.454.684,207.197.873.311,102985944681.0,79060602005.0,12771871941.0,12379454684.0,207197873311.0
