row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,,
- Chi phí thuê cửa hàng,a. Chi phí trả trước ngắn hạn > - Chi phí thuê cửa hàng,- Chi phí thuê cửa hàng,10.582.202.902,4.941.083.841,10582202902.0,4941083841.0
- Chi phí công cụ và dụng cụ,a. Chi phí trả trước ngắn hạn > - Chi phí công cụ và dụng cụ,- Chi phí công cụ và dụng cụ,44.714.948.449,29.305.830.517,44714948449.0,29305830517.0
- Các khoản khác,a. Chi phí trả trước ngắn hạn > - Các khoản khác,- Các khoản khác,13.820.385.437,10.806.569.392,13820385437.0,10806569392.0
,,,69.117.536.788,45.053.483.750,69117536788.0,45053483750.0
b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,,
- Chi phí cải tạo văn phòng và cửa hàng,b. Chi phí trả trước dài hạn > - Chi phí cải tạo văn phòng và cửa hàng,- Chi phí cải tạo văn phòng và cửa hàng,24.269.615.250,16.258.714.354,24269615250.0,16258714354.0
- Chi phí thuê cửa hàng,b. Chi phí trả trước dài hạn > - Chi phí thuê cửa hàng,- Chi phí thuê cửa hàng,1.213.200.000,898.700.471,1213200000.0,898700471.0
- Chi phí công cụ và dụng cụ,b. Chi phí trả trước dài hạn > - Chi phí công cụ và dụng cụ,- Chi phí công cụ và dụng cụ,23.740.082.367,14.116.115.437,23740082367.0,14116115437.0
- Chi phí quảng cáo,b. Chi phí trả trước dài hạn > - Chi phí quảng cáo,- Chi phí quảng cáo,938.937.048,1.433.045.277,938937048.0,1433045277.0
- Chi phí khác,b. Chi phí trả trước dài hạn > - Chi phí khác,- Chi phí khác,3.806.485.911,-,3806485911.0,
,,,53.968.320.576,32.706.575.539,53968320576.0,32706575539.0
