row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị VND,Số đầu năm > Số có khả năng trả nộ VND,Trong năm > Tăng VND,Trong năm > Giảm VND,Số cuối năm > Giá trị VND,Số cuối năm > Số có khả năng trả nộ VND,numeric__Số đầu năm > Giá trị VND,numeric__Số đầu năm > Số có khả năng trả nộ VND,numeric__Trong năm > Tăng VND,numeric__Trong năm > Giảm VND,numeric__Số cuối năm > Giá trị VND,numeric__Số cuối năm > Số có khả năng trả nộ VND
Nặng hàng TMCP Ả Châu,Nặng hàng TMCP Ả Châu,Nặng hàng TMCP Ả Châu,43.884.630.000,43.884.630.000,-,(43.884.630.000),-,-,43884630000.0,43884630000.0,,-43884630000.0,,
Nặng hàng TMCP Công thường Việt Nam,Nặng hàng TMCP Công thường Việt Nam,Nặng hàng TMCP Công thường Việt Nam,247.746.000.000,247.746.000.000,881.594.533.653,(971.197.477.449),158.143.056.204,158.143.056.204,247746000000.0,247746000000.0,881594533653.0,-971197477449.0,158143056204.0,158143056204.0
Nặng hàng TMCP Ngoại thường Việt Nam,Nặng hàng TMCP Ngoại thường Việt Nam,Nặng hàng TMCP Ngoại thường Việt Nam,260.503.558.537,260.503.558.537,572.188.410.854,(545.426.794.128),287.265.175.263,287.265.175.263,260503558537.0,260503558537.0,572188410854.0,-545426794128.0,287265175263.0,287265175263.0
Nặng hàng TNHH CTBC - Chi nhận Hồ Chí Minh,Nặng hàng TNHH CTBC - Chi nhận Hồ Chí Minh,Nặng hàng TNHH CTBC - Chi nhận Hồ Chí Minh,66.400.000.000,66.400.000.000,256.000.000.000,(255.400.000.000),67.000.000.000,67.000.000.000,66400000000.0,66400000000.0,256000000000.0,-255400000000.0,67000000000.0,67000000000.0
Nặng hàng TNHH MTV Shinhan Việt Nam,Nặng hàng TNHH MTV Shinhan Việt Nam,Nặng hàng TNHH MTV Shinhan Việt Nam,60.000.000.000,60.000.000.000,180.000.000.000,(180.000.000.000),60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,180000000000.0,-180000000000.0,60000000000.0,60000000000.0
Nặng hàng TMCP Quân đủ,Nặng hàng TMCP Quân đủ,Nặng hàng TMCP Quân đủ,4.000.000.000,4.000.000.000,52.503.902.806,(56.503.902.806),-,-,4000000000.0,4000000000.0,52503902806.0,-56503902806.0,,
Nặng hàng TMCP Đầu Tư Phát Tiến Việt Nam,Nặng hàng TMCP Đầu Tư Phát Tiến Việt Nam,Nặng hàng TMCP Đầu Tư Phát Tiến Việt Nam,79.295.679.416,79.295.679.416,209.025.134.526,(245.053.315.947),43.267.497.995,43.267.497.995,79295679416.0,79295679416.0,209025134526.0,-245053315947.0,43267497995.0,43267497995.0
Nặng hàng TMCP Quốc Tế,Nặng hàng TMCP Quốc Tế,Nặng hàng TMCP Quốc Tế,99.079.954.535,99.079.954.535,23.700.000.000,(122.779.954.535),-,-,99079954535.0,99079954535.0,23700000000.0,-122779954535.0,,
Nặng hàng TMCP Xăng dầu Petrolimex,Nặng hàng TMCP Xăng dầu Petrolimex,Nặng hàng TMCP Xăng dầu Petrolimex,133.708.080.000,133.708.080.000,243.551.870.000,(377.259.950.000),-,-,133708080000.0,133708080000.0,243551870000.0,-377259950000.0,,
Nặng hàng China Construction,Nặng hàng China Construction,Nặng hàng China Construction,104.187.768.760,104.187.768.760,-,(104.187.768.760),-,-,104187768760.0,104187768760.0,,-104187768760.0,,
Nặng hàng TMCP Bản Việt,Nặng hàng TMCP Bản Việt,Nặng hàng TMCP Bản Việt,59.399.532.596,59.399.532.596,178.094.957.021,(237.494.489.617),-,-,59399532596.0,59399532596.0,178094957021.0,-237494489617.0,,
Nặng hàng TMCP Phương Đồng Việt Nam,Nặng hàng TMCP Phương Đồng Việt Nam,Nặng hàng TMCP Phương Đồng Việt Nam,18.867.373.805,18.867.373.805,11.306.977,(18.878.680.782),-,-,18867373805.0,18867373805.0,11306977.0,-18878680782.0,,
Nặng hàng TMCP Hải慣 Nam,Nặng hàng TMCP Hải慣 Nam,Nặng hàng TMCP Hải慣 Nam,-,-,35.384.938.000,(14.257.838.000),20.627.068.000,20.627.068.000,,,35384938000.0,-14257838000.0,20627068000.0,20627068000.0
Các cá nhân,Các cá nhân,Các cá nhân,239.988.367.398,239.988.367.398,425.807.169.724,(459.519.484.384),206.276.052.738,206.276.052.738,239988367398.0,239988367398.0,425807169724.0,-459519484384.0,206276052738.0,206276052738.0
Vay dài hạn đến hạn trả (Thuyệt minh số 21),Vay dài hạn đến hạn trả (Thuyệt minh số 21),Vay dài hạn đến hạn trả (Thuyệt minh số 21),31.894.000.000,31.894.000.000,47.894.000.000,(76.088.000.000),3.700.000.000,3.700.000.000,31894000000.0,31894000000.0,47894000000.0,-76088000000.0,3700000000.0,3700000000.0
,,,1.448.954.945.047,1.448.954.945.047,3.105.756.191.561,(3.708.432.286.408),846.278.850.200,846.278.850.200,1448954945047.0,1448954945047.0,3105756191561.0,-3708432286408.0,846278850200.0,846278850200.0
