row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,3.896.141.901.410,3.102.579.808.767,,100.0,,3896141901410.0,3102579808767.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,175.208.552.187,155.348.026.509,,110.0,4.0,175208552187.0,155348026509.0
I.,I.,I.,1. Tiền,111,,111.158.552.187,70.848.026.509,,111.0,,111158552187.0,70848026509.0
I.,I.,I.,2. Các khoản tương đương tiền,112,,64.050.000.000,84.500.000.000,,112.0,,64050000000.0,84500000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,160.065.000.000,65.000.000,,120.0,5.0,160065000000.0,65000000.0
II.,II.,II.,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,160.065.000.000,65.000.000,,123.0,,160065000000.0,65000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,84.622.464.067,62.721.123.570,,130.0,,84622464067.0,62721123570.0
III.,III.,III.,1. Phải thu ngắn hạn của khách hàng,131,6,39.946.216.659,34.105.257.366,,131.0,6.0,39946216659.0,34105257366.0
III.,III.,III.,2. Trả trước cho người bán ngắn hạn,132,,33.682.107.963,18.769.437.915,,132.0,,33682107963.0,18769437915.0
III.,III.,III.,3. Phải thu ngắn hạn khác,136,7,10.858.761.425,8.813.861.809,,136.0,7.0,10858761425.0,8813861809.0
III.,III.,III.,4. Dự phòng phải thu ngắn hạn khó đòi,137,,-,(35.327.600),,137.0,,,-35327600.0
III.,III.,III.,5. Tài sản thiếu chờ xử lý,139,8,135.378.020,1.067.894.080,,139.0,8.0,135378020.0,1067894080.0
IV.,IV.,IV.,Hàng tồn kho,140,9,3.401.959.226.624,2.838.689.610.580,,140.0,9.0,3401959226624.0,2838689610580.0
IV.,IV.,IV.,1. Hàng tồn kho,141,,3.401.959.226.624,2.838.689.610.580,,141.0,,3401959226624.0,2838689610580.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,74.286.658.532,45.756.048.108,,150.0,,74286658532.0,45756048108.0
V.,V.,V.,1. Chi phí trả trước ngắn hạn,151,10,69.117.536.788,45.053.483.750,,151.0,10.0,69117536788.0,45053483750.0
V.,V.,V.,2. Thuế giá trị gia tăng được khấu trừ,152,,28.174.789,9.315.542,,152.0,,28174789.0,9315542.0
V.,V.,V.,3. Thuế và các khoản khác phải thu Nhà nước,153,11,5.140.946.955,693.248.816,,153.0,11.0,5140946955.0,693248816.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,596.103.931.401,485.407.101.396,,200.0,,596103931401.0,485407101396.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,42.787.737.738,26.443.208.792,,210.0,,42787737738.0,26443208792.0
I.,I.,I.,1. Phải thu dài hạn khác,216,7,42.787.737.738,26.443.208.792,,216.0,7.0,42787737738.0,26443208792.0
II.,II.,II.,Tài sản cố định,220,,487.243.774.697,415.801.415.193,,220.0,,487243774697.0,415801415193.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,12,205.748.326.607,207.197.873.311,,221.0,12.0,205748326607.0,207197873311.0
II.,II.,II.,- Nguyên giá,222,,396.615.581.684,370.598.131.345,,222.0,,396615581684.0,370598131345.0
II.,II.,II.,- Giá trị hao mòn lũy kế,223,,(190.867.255.077),(163.400.258.034),,223.0,,-190867255077.0,-163400258034.0
II.,II.,II.,2. Tài sản cố định vô hình,227,13,281.495.448.090,208.603.541.882,,227.0,13.0,281495448090.0,208603541882.0
II.,II.,II.,- Nguyên giá,228,,286.740.907.873,213.344.195.473,,228.0,,286740907873.0,213344195473.0
II.,II.,II.,- Giá trị hao mòn lũy kế,229,,(5.245.459.783),(4.740.653.591),,229.0,,-5245459783.0,-4740653591.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,9.665.078.966,7.532.817.898,,240.0,,9665078966.0,7532817898.0
III.,III.,III.,1. Chi phí xây dựng cơ bản dở dang,242,14,9.665.078.966,7.532.817.898,,242.0,14.0,9665078966.0,7532817898.0
IV.,IV.,IV.,Các khoản đầu tư tài chính dài hạn,250,,-,-,,250.0,,,
IV.,IV.,IV.,1. Đầu tư góp vốn vào đơn vị khác,253,5,395.271.613.400,395.271.613.400,,253.0,5.0,395271613400.0,395271613400.0
IV.,IV.,IV.,2. Dự phòng đầu tư tài chính dài hạn,254,5,(395.271.613.400),(395.271.613.400),,254.0,5.0,-395271613400.0,-395271613400.0
V.,V.,V.,Tài sản dài hạn khác,260,,56.407.340.000,35.629.659.513,,260.0,,56407340000.0,35629659513.0
V.,V.,V.,1. Chi phí trả trước dài hạn,261,10,53.968.320.576,32.706.575.539,,261.0,10.0,53968320576.0,32706575539.0
V.,V.,V.,2. Tài sản thuê thu nhập hoãn lại,262,15,2.439.019.424,2.923.083.974,,262.0,15.0,2439019424.0,2923083974.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,4.492.245.832.811,3.587.986.910.163,,270.0,,4492245832811.0,3587986910163.0
