row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Năm trước,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
I. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
1. Lợi nhuận trước thuế,I. LƯU CHUYỄN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 1. Lợi nhuận trước thuế,1. Lợi nhuận trước thuế,01,907.379.395.857,590.627.966.579,1.0,907379395857.0,590627966579.0
2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,2. Điều chỉnh cho các khoản:,,,
Khẩu hao tài sản cố định,2. Điều chỉnh cho các khoản: > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,02,39.339.871.537,34.398.406.238,2.0,39339871537.0,34398406238.0
Các khoản dự phòng,2. Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,663.814.156,81.777.975.537,3.0,663814156.0,81777975537.0
(Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,2. Điều chỉnh cho các khoản: > (Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,(Lãi)/Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiên tệ có gốc ngoại tệ,04,(603.950.650),3.448.968.082,4.0,-603950650.0,3448968082.0
Lãi từ hoạt động đầu tư,2. Điều chỉnh cho các khoản: > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(15.184.214.057),(20.718.880.379),5.0,-15184214057.0,-20718880379.0
Chỉ phí lãi vay,2. Điều chỉnh cho các khoản: > Chỉ phí lãi vay,Chỉ phí lãi vay,06,54.981.032.499,73.196.281.440,6.0,54981032499.0,73196281440.0
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,2. Điều chỉnh cho các khoản: > 3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,986.575.949.342,762.730.717.497,8.0,986575949342.0,762730717497.0
Thay đổi các khoản phải thu,2. Điều chỉnh cho các khoản: > Thay đổi các khoản phải thu,Thay đổi các khoản phải thu,09,(41.626.904.137),(26.455.422.977),9.0,-41626904137.0,-26455422977.0
Thay đổi hàng tồn kho,2. Điều chỉnh cho các khoản: > Thay đổi hàng tồn kho,Thay đổi hàng tồn kho,10,(563.269.616.044),(703.465.046.963),10.0,-563269616044.0,-703465046963.0
Thay đổi các khoản phải trả,2. Điều chỉnh cho các khoản: > Thay đổi các khoản phải trả,Thay đổi các khoản phải trả,11,16.952.354.627,170.232.020.319,11.0,16952354627.0,170232020319.0
Thay đổi chi phí trả trước,2. Điều chỉnh cho các khoản: > Thay đổi chi phí trả trước,Thay đổi chi phí trả trước,12,(45.325.798.075),(6.686.618.355),12.0,-45325798075.0,-6686618355.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(55.960.918.599),(70.946.216.904),14.0,-55960918599.0,-70946216904.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(153.619.666.783),(160.482.205.140),15.0,-153619666783.0,-160482205140.0
Tiền thu khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,-,7.686.200.383,16.0,,7686200383.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(34.241.546.190),-,17.0,-34241546190.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,109.483.854.141,(27.386.572.140),20.0,109483854141.0,-27386572140.0
