row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,982.745.770.000,-,(7.090.000),219.647.610.783,112.867.040.621,1.315.253.331.404,982745770000.0,,-7090000.0,219647610783.0,112867040621.0,1315253331404.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,450.488.049.260,450.488.049.260,,,,,450488049260.0,450488049260.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,(245.684.670.000),(245.684.670.000),,,,,-245684670000.0,-245684670000.0
Quỹ hoạt động của Hội đồng,Quỹ hoạt động của Hội đồng,Quỹ hoạt động của Hội đồng,-,-,-,-,(2.000.000.000),(2.000.000.000),,,,,-2000000000.0,-2000000000.0
Quản trị và Ban kiểm soát,Quản trị và Ban kiểm soát,Quản trị và Ban kiểm soát,-,-,-,(75.560.053.865),75.560.053.865,-,,,,-75560053865.0,75560053865.0,
Hoàn nhập quỹ đầu tư phát triển,Hoàn nhập quỹ đầu tư phát triển,Hoàn nhập quỹ đầu tư phát triển,-,-,-,-,(15.230.000.000),(15.230.000.000),,,,,-15230000000.0,-15230000000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(2.500.000.000),(2.500.000.000),,,,,-2500000000.0,-2500000000.0
Quỹ Ban Giám đốc,Quỹ Ban Giám đốc,Quỹ Ban Giám đốc,-,-,-,-,-,-,,,,,,
Số dư đầu năm nay,Quỹ Ban Giám đốc > Số dư đầu năm nay,Số dư đầu năm nay,982.745.770.000,-,(7.090.000),144.087.556.918,373.500.473.746,1.500.326.710.664,982745770000.0,,-7090000.0,144087556918.0,373500473746.0,1500326710664.0
Tăng vốn điều lệ,Quỹ Ban Giám đốc > Tăng vốn điều lệ,Tăng vốn điều lệ,98.274.570.000,876.761.282.458,-,-,-,975.035.852.458,98274570000.0,876761282458.0,,,,975035852458.0
Lợi nhuận trong năm,Quỹ Ban Giám đốc > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,724.856.448.060,724.856.448.060,,,,,724856448060.0,724856448060.0
Trích quỹ đầu tư phát triển,Quỹ Ban Giám đốc > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,76.000.000.000,(76.000.000.000),-,,,,76000000000.0,-76000000000.0,
Chia cổ tức,Quỹ Ban Giám đốc > Chia cổ tức,Chia cổ tức,-,-,-,-,(186.720.419.400),(186.720.419.400),,,,,-186720419400.0,-186720419400.0
Quỹ hoạt động của Hội đồng,Quỹ Ban Giám đốc > Quỹ hoạt động của Hội đồng,Quỹ hoạt động của Hội đồng,-,-,-,-,(6.750.000.000),(6.750.000.000),,,,,-6750000000.0,-6750000000.0
Quản trị và Ban kiểm soát,Quỹ Ban Giám đốc > Quản trị và Ban kiểm soát,Quản trị và Ban kiểm soát,-,-,-,-,(45.000.000.000),(45.000.000.000),,,,,-45000000000.0,-45000000000.0
"Trích quỹ khen thưởng, phúc lợi","Quỹ Ban Giám đốc > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(12.200.000.000),(12.200.000.000),,,,,-12200000000.0,-12200000000.0
Thuống Hội đồng Quản trị và Ban Giám đốc,Thuống Hội đồng Quản trị và Ban Giám đốc,Thuống Hội đồng Quản trị và Ban Giám đốc,-,-,-,-,-,-,,,,,,
Số dư cuối năm nay,Thuống Hội đồng Quản trị và Ban Giám đốc > Số dư cuối năm nay,Số dư cuối năm nay,1.081.020.340.000,876.761.282.458,(7.090.000),220.087.556.918,771.686.502.406,2.949.548.591.782,1081020340000.0,876761282458.0,-7090000.0,220087556918.0,771686502406.0,2949548591782.0
