row_label_raw,row_label_full,col_0,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",31.12.2023,31.12.2023_1,31.12.2022,31.12.2022_1,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__31.12.2023,numeric__31.12.2023_1,numeric__31.12.2022,numeric__31.12.2022_1
,,,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết %,Tỷ lệ sở hữu %,Tỷ lệ quyền biểu quyết %,,,,,,
"Công ty conCông ty Tài chínhTNHH HD SAISON(""HD SAISON"")","Công ty conCông ty Tài chínhTNHH HD SAISON(""HD SAISON"")","Công ty conCông ty Tài chínhTNHH HD SAISON(""HD SAISON"")",Tài chính/Ngân hàng,Thành phố Hồ Chí Minh,50%,50%,50%,50%,,,0.5,0.5,0.5,0.5
