row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2023Triệu đồng,31.12.2022Triệu đồng,,
Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,Cổ đông lớn và các bên liên quan với cổ đông lớn,,
Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi,Tăng tiền gửi của khách hàng và trả chi phí lãi tiền gửi,105.430.748,28.887.250,105430748.0,28887250.0
Giảm tiền gửi của khách hàng,Cổ đông lớn và các bên liên quan với cổ đông lớn > Giảm tiền gửi của khách hàng,Giảm tiền gửi của khách hàng,104.378.566,28.465.585,104378566.0,28465585.0
Tăng cho vay khách hàng,Cổ đông lớn và các bên liên quan với cổ đông lớn > Tăng cho vay khách hàng,Tăng cho vay khách hàng,242.341,-,242341.0,
Giảm cho vay khách hàng,Cổ đông lớn và các bên liên quan với cổ đông lớn > Giảm cho vay khách hàng,Giảm cho vay khách hàng,782.046,-,782046.0,
Thu nhập lãi cho vay,Cổ đông lớn và các bên liên quan với cổ đông lớn > Thu nhập lãi cho vay,Thu nhập lãi cho vay,80.127,-,80127.0,
Thu phí dịch vụ từ bảo hiểm,Cổ đông lớn và các bên liên quan với cổ đông lớn > Thu phí dịch vụ từ bảo hiểm,Thu phí dịch vụ từ bảo hiểm,3.924,5.620,3924.0,5620.0
Chi bảo hiểm tài sản,Cổ đông lớn và các bên liên quan với cổ đông lớn > Chi bảo hiểm tài sản,Chi bảo hiểm tài sản,8.826,7.246,8826.0,7246.0
"Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn","Các công ty Ngân hàng đầu tư, góp vốn",,
