row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,"Thiết bị, dụng cụquản lýTriệu đồng",TSCĐ hữu hìnhkhácTriệu đồng,TổngcộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,"numeric__Thiết bị, dụng cụquản lýTriệu đồng",numeric__TSCĐ hữu hìnhkhácTriệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,482.925,315.464,349.007,256.092,14.808,1.418.296,482925.0,315464.0,349007.0,256092.0,14808.0,1418296.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,44.684,52.107,77.855,21.627,5.807,202.080,44684.0,52107.0,77855.0,21627.0,5807.0,202080.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(16.366),(1.351),(68),(440),-,(18.225),-16366.0,-1351.0,-68.0,-440.0,,-18225.0
Khác,Nguyên giá > Khác,Khác,-,28,-,(28),-,-,,28.0,,-28.0,,
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,511.243,366.248,426.794,277.251,20.615,1.602.151,511243.0,366248.0,426794.0,277251.0,20615.0,1602151.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,146.183,178.697,237.955,244.330,12.093,819.258,146183.0,178697.0,237955.0,244330.0,12093.0,819258.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,19.210,30.275,43.088,11.374,1.203,105.150,19210.0,30275.0,43088.0,11374.0,1203.0,105150.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.005),(1.166),(68),(440),-,(8.679),-7005.0,-1166.0,-68.0,-440.0,,-8679.0
Khác,Giá trị khấu hao lũy kế > Khác,Khác,(34),18,-,(64),80,-,-34.0,18.0,,-64.0,80.0,
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,158.354,207.824,280.975,255.200,13.376,915.729,158354.0,207824.0,280975.0,255200.0,13376.0,915729.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,336.742,136.767,111.052,11.762,2.715,599.038,336742.0,136767.0,111052.0,11762.0,2715.0,599038.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,352.889,158.424,145.819,22.051,7.239,686.422,352889.0,158424.0,145819.0,22051.0,7239.0,686422.0
