row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2022Triệu đồng
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(271.106),(117.610),,,-271106.0,-117610.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,-,21.120,,,,21120.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,-,(175.000),,,,-175000.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,500,,,,500.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,384.325,372.069,,,384325.0,372069.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,113.219,101.079,,,113219.0,101079.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
01,01,01,Tăng vốn từ phát hành cổ phiếu,,-,200.000,,,,200000.0
04,04,04,Cổ tức trả cho cổ đông,19.1,(2.515.261),-,,191.0,-2515261.0,
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(2.515.261),200.000,,,-2515261.0,200000.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,77.570.335,(15.413.613),,,77570335.0,-15413613.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,,54.616.380,70.029.993,,,54616380.0,70029993.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM,32,132.186.715,54.616.380,,32.0,132186715.0,54616380.0
