row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Miền BắcTriệu đồng > Tại ngày 31 tháng 12 năm 2023,Miền TrungTriệu đồng > Tại ngày 31 tháng 12 năm 2023,Miền NamTriệu đồng > Tại ngày 31 tháng 12 năm 2023,Nước ngoàiTriệu đồng > Tại ngày 31 tháng 12 năm 2023,Loại trừTriệu đồng > Tại ngày 31 tháng 12 năm 2023,Tổng cộngTriệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Miền BắcTriệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Miền TrungTriệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Miền NamTriệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Nước ngoàiTriệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Loại trừTriệu đồng > Tại ngày 31 tháng 12 năm 2023,numeric__Tổng cộngTriệu đồng > Tại ngày 31 tháng 12 năm 2023
Tài sản,Tài sản,Tài sản,143.385.242,45.216.619,440.090.150,799,(38.707.291),589.985.519,143385242.0,45216619.0,440090150.0,799.0,-38707291.0,589985519.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,136.918.112,43.491.088,404.528.885,2.641,(38.707.291),546.233.435,136918112.0,43491088.0,404528885.0,2641.0,-38707291.0,546233435.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023,,,,,,
Lợi nhuận trước thuế,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2023 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,6.467.131,1.725.531,4.545.608,(1.841),-,12.736.429,6467131.0,1725531.0,4545608.0,-1841.0,,12736429.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,,,,,,
Tài sản,Tại ngày 31 tháng 12 năm 2022 > Tài sản,Tài sản,72.251.589,42.874.859,304.564.115,773,(15.415.188),404.276.148,72251589.0,42874859.0,304564115.0,773.0,-15415188.0,404276148.0
Nợ phải trả,Tại ngày 31 tháng 12 năm 2022 > Nợ phải trả,Nợ phải trả,70.312.285,41.809.151,271.445.355,2.469,(15.415.188),368.154.072,70312285.0,41809151.0,271445355.0,2469.0,-15415188.0,368154072.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,,,,,,
Lợi nhuận trước thuế,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.939.304,1.065.709,6.471.769,(1.695),-,9.475.087,1939304.0,1065709.0,6471769.0,-1695.0,,9475087.0
