row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên 1 tháng đến 3 tháng,Từ trên 3 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,,,,,,,,
Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,-,2.937.733,-,-,-,-,2.937.733,,,2937733.0,,,,,2937733.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,11.162.767,-,-,-,-,11.162.767,,,11162767.0,,,,,11162767.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,33.069.680,7.876.030,12.580.000,-,-,53.525.710,,,33069680.0,7876030.0,12580000.0,,,53525710.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,-,1.797.822,-,-,1.797.822,,,,,1797822.0,,,1797822.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),3.207.380,5.738.746,12.741.162,28.324.819,124.958.987,38.910.001,33.136.460,247.017.555,3207380.0,5738746.0,12741162.0,28324819.0,124958987.0,38910001.0,33136460.0,247017555.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,1.698.033,1.901.103,8.369.262,14.709.372,22.141.418,48.819.188,,,1698033.0,1901103.0,8369262.0,14709372.0,22141418.0,48819188.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,1.378.609,1.378.609,,,,,,,1378609.0,1378609.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,-,-,563.171,610,27.456,186.382,497.472,1.275.091,,,563171.0,610.0,27456.0,186382.0,497472.0,1275091.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),46.456,-,11.227.024,5.514.645,18.040.209,1.193.222,2.962.518,38.984.074,46456.0,,11227024.0,5514645.0,18040209.0,1193222.0,2962518.0,38984074.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,3.253.836,5.738.746,73.399.570,43.617.207,165.773.736,54.998.977,60.116.477,406.898.549,3253836.0,5738746.0,73399570.0,43617207.0,165773736.0,54998977.0,60116477.0,406898549.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,8.779.197,2.000.033,4.327,37.701,-,10.821.258,,,8779197.0,2000033.0,4327.0,37701.0,,10821258.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,46.396.069,15.192.015,18.235.449,8.666.078,-,88.489.611,,,46396069.0,15192015.0,18235449.0,8666078.0,,88489611.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,53.921.619,43.790.834,115.876.482,2.208.185,54,215.797.174,,,53921619.0,43790834.0,115876482.0,2208185.0,54.0,215797174.0
Các công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các nợ tài chính khác,Các công cụ tài chính phải sinh và các nợ tài chính khác,-,-,1.326,133.345,29.989,-,-,164.660,,,1326.0,133345.0,29989.0,,,164660.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,68.218,68.218,545.868,2.177.851,2.860.155,,,,68218.0,68218.0,545868.0,2177851.0,2860155.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,341.000,9.599.951,27.913.255,2.819.434,40.673.640,,,,341000.0,9599951.0,27913255.0,2819434.0,40673640.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.349.981,1.524.195,4.459.151,14.235,12,9.347.574,,,3349981.0,1524195.0,4459151.0,14235.0,12.0,9347574.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,112.448.192,63.049.640,148.273.567,39.385.322,4.997.351,368.154.072,,,112448192.0,63049640.0,148273567.0,39385322.0,4997351.0,368154072.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,3.253.836,5.738.746,(39.048.622),(19.432.433),17.500.169,15.613.655,55.119.126,38.744.477,3253836.0,5738746.0,-39048622.0,-19432433.0,17500169.0,15613655.0,55119126.0,38744477.0
