row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2023Triệu đồng,Tại ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2022Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,2.810.010,2.937.733,,3.0,2810010.0,2937733.0
II,A > II,II,Tiền gửi tại NHNN,4,41.314.547,11.162.767,,4.0,41314547.0,11162767.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",,99.806.936,53.525.710,,,99806936.0,53525710.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5.1,88.062.158,40.515.880,,51.0,88062158.0,40515880.0
2,A > 2,2,Cho vay các TCTD khác,5.2,11.744.778,13.009.830,,52.0,11744778.0,13009830.0
IV,A > IV,IV,Chứng khoán kinh doanh,,18.580.932,1.797.822,,,18580932.0,1797822.0
1,A > 1,1,Chứng khoán kinh doanh,6.1,18.580.932,1.797.822,,61.0,18580932.0,1797822.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,53.259,-,,7.0,53259.0,
VI,A > VI,VI,Cho vay khách hàng,8,323.784.316,244.491.364,,8.0,323784316.0,244491364.0
1,A > 1,1,Cho vay khách hàng,,327.317.823,247.017.555,,,327317823.0,247017555.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(3.533.507),(2.526.191),,,-3533507.0,-2526191.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,,44.092.289,48.789.184,,,44092289.0,48789184.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,9.1,31.871.688,35.375.058,,91.0,31871688.0,35375058.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,9.2,12.304.873,13.444.130,,92.0,12304873.0,13444130.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,9.6,(84.272),(30.004),,96.0,-84272.0,-30004.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,1.358.469,1.358.711,,10.0,1358469.0,1358711.0
1,A > 1,1,Đầu tư vào công ty con,,1.214.688,1.214.688,,,1214688.0,1214688.0
4,A > 4,4,Đầu tư dài hạn khác,,163.921,163.921,,,163921.0,163921.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(20.140),(19.898),,,-20140.0,-19898.0
X,A > X,X,Tài sản cố định,,1.389.568,1.275.091,,,1389568.0,1275091.0
1,A > 1,1,Tài sản cố định hữu hình,11.1,686.422,599.038,,111.0,686422.0,599038.0
a,A > a,a,Nguyên giá,,1.602.151,1.418.296,,,1602151.0,1418296.0
b,A > b,b,Giá trị khấu hao lũy kế,,(915.729),(819.258),,,-915729.0,-819258.0
3,A > 3,3,Tài sản cố định vô hình,11.2,703.146,676.053,,112.0,703146.0,676053.0
a,A > a,a,Nguyên giá,,1.025.381,956.355,,,1025381.0,956355.0
b,A > b,b,Giá trị khấu hao lũy kế,,(322.235),(280.302),,,-322235.0,-280302.0
XII,A > XII,XII,Tài sản Có khác,,56.795.193,38.937.766,,,56795193.0,38937766.0
1,A > 1,1,Các khoản phải thu,12.1,48.734.449,33.239.127,,121.0,48734449.0,33239127.0
2,A > 2,2,"Các khoản lãi, phí phải thu",12.2,6.350.264,4.092.625,,122.0,6350264.0,4092625.0
3,A > 3,3,"Tài sản thuế thu nhập doanh nghiệp (""TNDN"") hoãn lại",31,76.708,32.798,,31.0,76708.0,32798.0
4,A > 4,4,Tài sản Có khác,12.3,1.680.293,1.619.524,,123.0,1680293.0,1619524.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(46.521),(46.308),,,-46521.0,-46308.0
,,,TỔNG TÀI SẢN,,589.985.519,404.276.148,,,589985519.0,404276148.0
