row_label_raw,row_label_full,Họ và tên,Chức vụ,2023Triệu đồng,2022Triệu đồng,numeric__Chức vụ,numeric__2023Triệu đồng,numeric__2022Triệu đồng
Ông Kim Byoungho,Ông Kim Byoungho,Ông Kim Byoungho,"Chủ tịch, Thành viên độc lập",5.177,1.350,,5177.0,1350.0
Bà Nguyễn Thị Phương Thảo,Bà Nguyễn Thị Phương Thảo,Bà Nguyễn Thị Phương Thảo,Phó Chủ tịch thường trực,1.851,1.879,,1851.0,1879.0
Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Ông Lưu Đức Khánh,Phó Chủ tịch,1.027,3,,1027.0,3.0
Ông Nguyễn Thành Đô,Ông Nguyễn Thành Đô,Ông Nguyễn Thành Đô,Phó Chủ tịch,2.227,1.346,,2227.0,1346.0
Ông Nguyễn Hữu Đặng,Ông Nguyễn Hữu Đặng,Ông Nguyễn Hữu Đặng,Phó Chủ tịch,3.541,1.579,,3541.0,1579.0
Ông Lê Mạnh Dũng,Ông Lê Mạnh Dũng,Ông Lê Mạnh Dũng,Thành viên độc lập,1.171,646,,1171.0,646.0
Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Bà Nguyễn Thị Tâm,Thành viên (đến trước ngày 26.4.2023),1.035,855,,1035.0,855.0
Bà Lê Thị Băng Tâm,Bà Lê Thị Băng Tâm,Bà Lê Thị Băng Tâm,Chủ tịch (đến trước ngày 29.4.2022),-,474,,,474.0
Ông Chu Việt Cường,Ông Chu Việt Cường,Ông Chu Việt Cường,Thành viên (đến trước ngày 29.4.2022),-,205,,,205.0
Ông Lim Peng Khoon,Ông Lim Peng Khoon,Ông Lim Peng Khoon,Thành viên (đến trước ngày 29.4.2022),-,71,,,71.0
,,,,16.029,8.408,,16029.0,8408.0
