row_label_raw,row_label_full,col_0,Quyền sử dụng đất có thời hạnTriệu đồng,Quyền sử dụng đất không thời hạnTriệu đồng,Phần mềm vi tínhTriệu đồng,TSCĐ vô hìnhkhácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đất có thời hạnTriệu đồng,numeric__Quyền sử dụng đất không thời hạnTriệu đồng,numeric__Phần mềm vi tínhTriệu đồng,numeric__TSCĐ vô hìnhkhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,109.626,531.404,314.974,351,956.355,109626.0,531404.0,314974.0,351.0,956355.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,68.376,650,69.026,,,68376.0,650.0,69026.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,109.626,531.404,383.350,1.001,1.025.381,109626.0,531404.0,383350.0,1001.0,1025381.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,12.328,-,267.623,351,280.302,12328.0,,267623.0,351.0,280302.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.044,-,39.889,-,41.933,2044.0,,39889.0,,41933.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,14.372,-,307.512,351,322.235,14372.0,,307512.0,351.0,322235.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,97.298,531.404,47.351,-,676.053,97298.0,531404.0,47351.0,,676053.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,95.254,531.404,75.838,650,703.146,95254.0,531404.0,75838.0,650.0,703146.0
