row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2023Triệu đồng,31.12.2022Triệu đồng,,
Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng:,,
Tiền gửi và cho vay các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,99.806.936,53.525.710,99806936.0,53525710.0
Chứng khoán kinh doanh (Thuyết minh 6.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Chứng khoán kinh doanh (Thuyết minh 6.4),Chứng khoán kinh doanh (Thuyết minh 6.4),18.580.932,1.797.822,18580932.0,1797822.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,53.259,-,53259.0,
Cho vay khách hàng (Thuyết minh 8.3),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Cho vay khách hàng (Thuyết minh 8.3),Cho vay khách hàng (Thuyết minh 8.3),327.317.823,247.017.555,327317823.0,247017555.0
Chứng khoán đầu tư (Thuyết minh 9.5),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Chứng khoán đầu tư (Thuyết minh 9.5),Chứng khoán đầu tư (Thuyết minh 9.5),26.564.970,20.825.966,26564970.0,20825966.0
Các tài sản tài chính khác (Thuyết minh 12.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tinh hình tài chính riêng: > Các tài sản tài chính khác (Thuyết minh 12.4),Các tài sản tài chính khác (Thuyết minh 12.4),52.130.875,34.495.265,52130875.0,34495265.0
,,,524.454.795,357.662.318,524454795.0,357662318.0
Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,16.533.696,4.782.622,16533696.0,4782622.0
Các cam kết trong nghiệp vụ L/C,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các cam kết trong nghiệp vụ L/C,Các cam kết trong nghiệp vụ L/C,2.643.473,4.322.692,2643473.0,4322692.0
,,,19.177.169,9.105.314,19177169.0,9105314.0
,,,543.631.964,366.767.632,543631964.0,366767632.0
