row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày 31 tháng 12 năm > 2023Triệu đồng,Tại ngày 31 tháng 12 năm > 2022Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2023Triệu đồng,numeric__Tại ngày 31 tháng 12 năm > 2022Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,13,26.590,10.821.258,,13.0,26590.0,10821258.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,26.590,10.821.258,,,26590.0,10821258.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,109.463.555,88.489.611,,,109463555.0,88489611.0
1,B > 1,1,Tiền gửi của các TCTD khác,14.1,63.198.743,49.507.135,,141.0,63198743.0,49507135.0
2,B > 2,2,Vay các TCTD khác,14.2,46.264.812,38.982.476,,142.0,46264812.0,38982476.0
III,B > III,III,Tiền gửi của khách hàng,15,370.777.888,215.797.174,,15.0,370777888.0,215797174.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,-,164.660,,7.0,,164660.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",16,2.811.129,2.860.155,,16.0,2811129.0,2860155.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,45.187.148,40.673.640,,17.0,45187148.0,40673640.0
VII,B > VII,VII,Các khoản nợ khác,18,17.967.125,9.347.574,,18.0,17967125.0,9347574.0
1,B > 1,1,"Các khoản lãi, phí phải trả",18.1,10.117.289,4.910.131,,181.0,10117289.0,4910131.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18.2,7.849.836,4.437.443,,182.0,7849836.0,4437443.0
,,,TỔNG NỘ PHẢI TRẢ,,546.233.435,368.154.072,,,546233435.0,368154072.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,19,43.752.084,36.122.076,,19.0,43752084.0,36122076.0
1,B > 1,1,Vốn của TCTD,,29.198.918,25.426.026,,,29198918.0,25426026.0
a,B > a,a,Vốn điều lệ,,29.076.321,25.303.429,,,29076321.0,25303429.0
b,B > b,b,Vốn đầu tư xây dựng cơ bản,,89,89,,,89.0,89.0
c,B > c,c,Thặng dư vốn cổ phần,,535.956,535.956,,,535956.0,535956.0
d,B > d,d,Cổ phiếu quỹ,,(413.448),(413.448),,,-413448.0,-413448.0
2,B > 2,2,Quỹ của TCTD,,4.293.604,3.151.530,,,4293604.0,3151530.0
5,B > 5,5,Lợi nhuận chưa phân phối,,10.259.562,7.544.520,,,10259562.0,7544520.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,43.752.084,36.122.076,,,43752084.0,36122076.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,589.985.519,404.276.148,,,589985519.0,404276148.0
