row_label_raw,row_label_full,col_0,Thuê văn phòng,Thuê văn phòng_1,numeric__Thuê văn phòng,numeric__Thuê văn phòng_1
,,,2018VNĐ,2017VNĐ,,
Dưới 1 năm,Dưới 1 năm,Dưới 1 năm,2.536.160.000,2.463.120.000,2536160000.0,2463120000.0
Từ 1 đến 5 năm,Từ 1 đến 5 năm,Từ 1 đến 5 năm,853.600.000,2.867.040.000,853600000.0,2867040000.0
Tổng cộng các khoản thanh toán tối thiểu,Tổng cộng các khoản thanh toán tối thiểu,Tổng cộng các khoản thanh toán tối thiểu,3.389.760.000,5.330.160.000,3389760000.0,5330160000.0
