row_label_raw,row_label_full,col_0,col_1,2018 > Giá trị VND,2018 > Số có khả năng trả nợ VND,2017 > Giá trị VND,2017 > Số có khả năng trả nợ VND,numeric__col_1,numeric__2018 > Giá trị VND,numeric__2018 > Số có khả năng trả nợ VND,numeric__2017 > Giá trị VND,numeric__2017 > Số có khả năng trả nợ VND
Vay ngắn hạn ngân hàng (a),Vay ngắn hạn ngân hàng (a),Vay ngắn hạn ngân hàng (a),Vay ngắn hạn ngân hàng (a),3.149.689.338.222,3.149.689.338.222,4.457.331.075.435,4.457.331.075.435,,3149689338222.0,3149689338222.0,4457331075435.0,4457331075435.0
Vay dài hạn ngân hàng (b),Vay dài hạn ngân hàng (b),Vay dài hạn ngân hàng (b),Vay dài hạn ngân hàng (b),1.072.648.127.416,1.072.648.127.416,1.255.611.786.433,1.255.611.786.433,,1072648127416.0,1072648127416.0,1255611786433.0,1255611786433.0
Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,Phát hành trái phiếu,-,-,260.000.000.000,260.000.000.000,,,,260000000000.0,260000000000.0
Các khoản nợ thuê tài chính (c),Các khoản nợ thuê tài chính (c),Các khoản nợ thuê tài chính (c),Các khoản nợ thuê tài chính (c),89.414.764.323,89.414.764.323,62.117.104.116,62.117.104.116,,89414764323.0,89414764323.0,62117104116.0,62117104116.0
(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,(a) Vay ngắn hạn,,,,,
Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau:,,,,,
,,,Tại ngày 1.1.2018 VND,Vay trong năm VND,Đã trả trong năm VND,Nợ dài hạn đến hạn trả VND,Tại ngày 31.12.2018 VND,,,,,
Vay ngân hàng (*),Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau: > Vay ngân hàng (*),Vay ngân hàng (*),4.457.331.075.435,10.712.442.436.839,(12.234.109.174.052),214.025.000.000,3.149.689.338.222,4457331075435.0,10712442436839.0,-12234109174052.0,214025000000.0,3149689338222.0
Các khoản nợ thuê tài chính,Biến động các khoản vay ngắn hạn và các khoản nợ thuê tài chính trong năm như sau: > Các khoản nợ thuê tài chính,Các khoản nợ thuê tài chính,15.919.854.420,-,(23.518.944.732),29.058.633.756,21.459.543.444,15919854420.0,,-23518944732.0,29058633756.0,21459543444.0
,,,4.473.250.929.855,10.712.442.436.839,(12.257.628.118.784),243.083.633.756,3.171.148.881.666,4473250929855.0,10712442436839.0,-12257628118784.0,243083633756.0,3171148881666.0
