row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,numeric__Máy móc thiết bị VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Tại ngày 1 tháng 1 năm 2018,Nguyên giá > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,13.751.434.000,13751434000.0
Chuyển sang TSCĐ hữu hình,Nguyên giá > Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(13.751.434.000),-13751434000.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,-,
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,
Tại ngày 1 tháng 1 năm 2018,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,2.099.868.433,2099868433.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.803.951.559,1803951559.0
Chuyển sang TSCĐ hữu hình,Khấu hao lũy kế > Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(3.903.819.992),-3903819992.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,-,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Tại ngày 1 tháng 1 năm 2018,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2018,Tại ngày 1 tháng 1 năm 2018,11.651.565.567,11651565567.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,-,
