row_label_raw,row_label_full,col_0,2018VNĐ,2017VNĐ,numeric__2018VNĐ,numeric__2017VNĐ
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,52.688.915.504,749.997.559.766,52688915504.0,749997559766.0
Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,10.537.783.101,149.999.511.953,10537783101.0,149999511953.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,,,
Thu nhập không chịu thuế,Điều chỉnh: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,-,(1.500.858.091),,-1500858091.0
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,241.759.895,266.686.757,241759895.0,266686757.0
U'u đãi thuế,Điều chỉnh: > U'u đãi thuế,U'u đãi thuế,(6.564.274.306),(74.508.643.222),-6564274306.0,-74508643222.0
Dự phòng thừa của năm trước,Điều chỉnh: > Dự phòng thừa của năm trước,Dự phòng thừa của năm trước,(74.909.810),-,-74909810.0,
Chi phí thuế TNDN (*),Điều chỉnh: > Chi phí thuế TNDN (*),Chi phí thuế TNDN (*),4.140.358.880,74.256.697.397,4140358880.0,74256697397.0
Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh:,,,,
Thuế TNDN - hiện hành,Chi phí thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,4.140.358.880,74.256.697.397,4140358880.0,74256697397.0
Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,Thuế TNDN - hoãn lại,-,-,,
,,,4.140.358.880,74.256.697.397,4140358880.0,74256697397.0
