row_label_raw,row_label_full,col_0,Tại ngày1.1.2018VND,Số (phải thu)/ phảinộp trong nămVND,Số đã thực nộptrong nămVND,Tại ngày31.12.2018VND,numeric__Tại ngày1.1.2018VND,numeric__Số (phải thu)/ phảinộp trong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Tại ngày31.12.2018VND
Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,(344.969.955.383),1.973.477.162.757,(1.844.823.705.211),(216.316.497.837),-344969955383.0,1973477162757.0,-1844823705211.0,-216316497837.0
Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,603.464.295.315,(603.485.138.927),(20.843.612),,603464295315.0,-603485138927.0,-20843612.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",-,6.881.323.392,(6.881.323.392),-,,6881323392.0,-6881323392.0,
Thuế TNDN,Thuế TNDN,Thuế TNDN,44.256.697.397,4.140.358.880,(50.263.783.803),(1.866.727.526),44256697397.0,4140358880.0,-50263783803.0,-1866727526.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,320.303.783,7.026.309.507,(7.074.487.720),272.125.570,320303783.0,7026309507.0,-7074487720.0,272125570.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,813.487.813,(813.487.813),-,,813487813.0,-813487813.0,
,,,(300.392.954.203),2.595.802.937.664,(2.513.341.926.866),(217.931.943.405),-300392954203.0,2595802937664.0,-2513341926866.0,-217931943405.0
14 CHI PHÍ PHẢI TRẢ NGẮN HẠN,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN,,,,
,,,2018VND,2017VND,,,,,,
Chi phí quảng cáo,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN > Chi phí quảng cáo,Chi phí quảng cáo,3.910.532.600,-,,,3910532600.0,,,
Chi phí lãi vay,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN > Chi phí lãi vay,Chi phí lãi vay,12.298.786.141,2.099.154.589,,,12298786141.0,2099154589.0,,
Khác,14 CHI PHÍ PHẢI TRẢ NGẮN HẠN > Khác,Khác,2.285.276.536,90.909.091,,,2285276536.0,90909091.0,,
,,,18.494.595.277,2.190.063.680,,,18494595277.0,2190063680.0,,
