row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2018VND,Tại ngày 31 tháng 12 năm > 2017VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2018VND,numeric__Tại ngày 31 tháng 12 năm > 2017VND
300,300,300,NỘ PHẢI TRẢ,,5.030.909.697.567,7.077.214.274.826,,,5030909697567.0,7077214274826.0
310,310,310,Nợ ngắn hạn,,3.889.406.349.272,5.514.106.148.697,,,3889406349272.0,5514106148697.0
311,311,311,Phải trả người bán ngắn hạn,12,546.047.315.924,773.127.647.829,,12.0,546047315924.0,773127647829.0
312,312,312,Người mua trả tiền trước ngắn hạn,,71.296.280.612,149.888.533.275,,,71296280612.0,149888533275.0
313,313,313,Thuế và các khoản phải nộp ngân sách Nhà nước,13,272.125.570,44.577.001.180,,13.0,272125570.0,44577001180.0
314,314,314,Phải trả người lao động,,23.037.449.132,28.104.958.055,,,23037449132.0,28104958055.0
315,315,315,Chi phí phải trả ngắn hạn,14,18.494.595.277,2.190.063.680,,14.0,18494595277.0,2190063680.0
319,319,319,Phải trả ngắn hạn khác,,10.683.320.899,15.062.724.213,,,10683320899.0,15062724213.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,15(a),3.171.148.881.666,4.473.250.929.855,,,3171148881666.0,4473250929855.0
322,322,322,"Quỹ khen thưởng, phúc lợi",16,48.426.380.192,27.904.290.610,,16.0,48426380192.0,27904290610.0
330,330,330,Nợ dài hạn,,1.141.503.348.295,1.563.108.126.129,,,1141503348295.0,1563108126129.0
337,337,337,Phải trả dài hạn khác,,900.000.000,1.299.090.000,,,900000000.0,1299090000.0
338,338,338,Vay và nợ thuê tài chính dài hạn,15(b),1.140.603.348.295,1.561.809.036.129,,,1140603348295.0,1561809036129.0
400,400,400,VỐN CHỦ SỞ HỮU,,2.930.638.063.412,2.908.690.574.062,,,2930638063412.0,2908690574062.0
410,410,410,Vốn chủ sở hữu,,2.930.638.063.412,2.908.690.574.062,,,2930638063412.0,2908690574062.0
411,411,411,Vốn góp của chủ sở hữu,"17, 18",1.819.998.680.000,1.300.000.000.000,,,1819998680000.0,1300000000000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,1.819.998.680.000,1.300.000.000.000,,,1819998680000.0,1300000000000.0
412,412,412,Thặng dư vốn cổ phần,18,766.255.590.000,766.255.590.000,,18.0,766255590000.0,766255590000.0
418,418,418,Quỹ đầu tư phát triển,18,37.357.566.342,23.207.319.954,,18.0,37357566342.0,23207319954.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,18,34.587.922.436,20.437.676.048,,18.0,34587922436.0,20437676048.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",18,272.438.304.634,798.789.988.060,,18.0,272438304634.0,798789988060.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,223.889.748.010,253.049.125.691,,,223889748010.0,253049125691.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,48.548.556.624,545.740.862.369,,,48548556624.0,545740862369.0
440,440,440,TỔNG NGUỒN VỐN,,7.961.547.760.979,9.985.904.848.888,,,7961547760979.0,9985904848888.0
