row_label_raw,row_label_full,col_0,2018,2018_1,2017,2017_1,numeric__2018,numeric__2018_1,numeric__2017,numeric__2017_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng đang đi trên đường,Hàng đang đi trên đường,Hàng đang đi trên đường,1.516.683.536,-,729.510.967.430,-,1516683536.0,,729510967430.0,
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,708.341.674.265,-,1.627.854.654.737,-,708341674265.0,,1627854654737.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",119.798.774.298,-,58.976.103.109,-,119798774298.0,,58976103109.0,
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,7.878.203.180,-,20.646.114.725,-,7878203180.0,,20646114725.0,
Thành phẩm tồn kho,Thành phẩm tồn kho,Thành phẩm tồn kho,1.416.074.625.937,-,1.384.761.903.041,-,1416074625937.0,,1384761903041.0,
Hàng hóa,Hàng hóa,Hàng hóa,157.692.866,-,611.306.877,-,157692866.0,,611306877.0,
,,,2.253.767.654.082,-,3.822.361.049.919,-,2253767654082.0,,3822361049919.0,
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,-,,-,,,,,
,,,2.253.767.654.082,,3.822.361.049.919,,2253767654082.0,,3822361049919.0,
