row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,4.809.775.573.381,2.932.629.002.663,300.0,,4809775573381.0,2932629002663.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,2.948.433.701.279,2.119.367.701.945,310.0,,2948433701279.0,2119367701945.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,V.13,440.639.330.513,879.365.672.552,311.0,,440639330513.0,879365672552.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,76.188.232.135,62.301.483.297,312.0,,76188232135.0,62301483297.0
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,V.14,108.712.643.308,2.444.554.629,313.0,,108712643308.0,2444554629.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,,18.267.868.106,8.873.763.132,314.0,,18267868106.0,8873763132.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,V.15,4.808.904.719,90.909.091,315.0,,4808904719.0,90909091.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,V.16,132.739.235,250.529.301,319.0,,132739235.0,250529301.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,V.17,2.295.882.606.236,1.165.970.635.872,320.0,,2295882606236.0,1165970635872.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,,3.801.377.027,70.154.071,322.0,,3801377027.0,70154071.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,1.861.341.872.102,813.261.300.718,330.0,,1861341872102.0,813261300718.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,337,V.16,1.299.090.000,1.299.090.000,337.0,,1299090000.0,1299090000.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,V.17,1.860.042.782.102,811.962.210.718,338.0,,1860042782102.0,811962210718.0
D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,D. VỐN CHỦ SỐ HỮU,400,,1.580.446.422.598,639.758.626.580,400.0,,1580446422598.0,639758626580.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,V.18,1.580.446.422.598,639.758.626.580,410.0,,1580446422598.0,639758626580.0
Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu,411,,660.343.610.000,438.899.200.000,411.0,,660343610000.0,438899200000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,660.343.610.000,438.899.200.000,,,660343610000.0,438899200000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,264.355.590.000,62.100.000.000,412.0,,264355590000.0,62100000000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,12.851.794.521,9.069.971.565,418.0,,12851794521.0,9069971565.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,4.904.387.898,1.122.564.942,420.0,,4904387898.0,1122564942.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,634.991.436.569,128.566.890.073,421.0,,634991436569.0,128566890073.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,117.221.421.205,2.506.124.881,,,117221421205.0,2506124881.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,517.770.015.364,126.060.765.192,,,517770015364.0,126060765192.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,2.999.603.610,,429.0,,2999603610.0,
TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,6.390.221.995.979,3.572.387.629.243,440.0,,6390221995979.0,3572387629243.0
