row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,399.000.000.000,62.100.000.000,7.947.406.623,,37.418.831.393,,506.466.238.016,399000000000.0,62100000000.0,7947406623.0,,37418831393.0,,506466238016.0
- Lợi nhuận tăng trong năm trước,- Lợi nhuận tăng trong năm trước,- Lợi nhuận tăng trong năm trước,,,,,126.060.765.192,,126.060.765.192,,,,,126060765192.0,,126060765192.0
- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,- Tăng vốn trong năm trước,39.899.200.000,,1.122.564.942,1.122.564.942,,,42.144.329.884,39899200000.0,,1122564942.0,1122564942.0,,,42144329884.0
- Trích lập các quỹ,- Trích lập các quỹ,- Trích lập các quỹ,,,,,(2.993.506.512),,(2.993.506.512),,,,,-2993506512.0,,-2993506512.0
"+ Quỹ khen thưởng, phúc lợi","+ Quỹ khen thưởng, phúc lợi","+ Quỹ khen thưởng, phúc lợi",,,,,(748.376.628),,(748.376.628),,,,,-748376628.0,,-748376628.0
+ Quỹ đầu tư phát triển,+ Quỹ đầu tư phát triển,+ Quỹ đầu tư phát triển,,,,,(1.122.564.942),,(1.122.564.942),,,,,-1122564942.0,,-1122564942.0
+ Quỹ khác thuộc vốn chủ sở,+ Quỹ khác thuộc vốn chủ sở,+ Quỹ khác thuộc vốn chủ sở,,,,,(1.122.564.942),,(1.122.564.942),,,,,-1122564942.0,,-1122564942.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,,,,,(31.919.200.000),,(31.919.200.000),,,,,-31919200000.0,,-31919200000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,438.899.200.000,62.100.000.000,9.069.971.565,1.122.564.942,128.566.890.073,,639.758.626.580,438899200000.0,62100000000.0,9069971565.0,1122564942.0,128566890073.0,,639758626580.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,,,,,,,,,,,,,,
- Lợi nhuận tăng trong năm nay,Số dư đầu năm nay > - Lợi nhuận tăng trong năm nay,- Lợi nhuận tăng trong năm nay,,,,,517.770.015.364,(396.390),517.769.618.974,,,,,517770015364.0,-396390.0,517769618974.0
- Tăng vốn trong năm nay,Số dư đầu năm nay > - Tăng vốn trong năm nay,- Tăng vốn trong năm nay,221.444.410.000,263.800.000.000,3.781.822.956,3.781.822.956,,3.000.000.000,495.808.055.912,221444410000.0,263800000000.0,3781822956.0,3781822956.0,,3000000000.0,495808055912.0
- Trích lập các quỹ,Số dư đầu năm nay > - Trích lập các quỹ,- Trích lập các quỹ,,,,,(11.345.468.868),,(11.345.468.868),,,,,-11345468868.0,,-11345468868.0
"+ Quỹ khen thưởng, phúc lợi","Số dư đầu năm nay > + Quỹ khen thưởng, phúc lợi","+ Quỹ khen thưởng, phúc lợi",,,,,(3.781.822.956),,(3.781.822.956),,,,,-3781822956.0,,-3781822956.0
+ Quỹ đầu tư phát triển,Số dư đầu năm nay > + Quỹ đầu tư phát triển,+ Quỹ đầu tư phát triển,,,,,(3.781.822.956),,(3.781.822.956),,,,,-3781822956.0,,-3781822956.0
+ Quỹ khác thuộc vốn chủ sở,Số dư đầu năm nay > + Quỹ khác thuộc vốn chủ sở,+ Quỹ khác thuộc vốn chủ sở,,,,,(3.781.822.956),,(3.781.822.956),,,,,-3781822956.0,,-3781822956.0
- Chia cổ tức,Số dư đầu năm nay > - Chia cổ tức,- Chia cổ tức,,(61.544.410.000),,,,,(61.544.410.000),,-61544410000.0,,,,,-61544410000.0
Số dư cuối năm,Số dư đầu năm nay > Số dư cuối năm,Số dư cuối năm,660.343.610.000,264.355.590.000,12.851.794.521,4.904.387.898,634.991.436.569,2.999.603.610,1.580.446.422.598,660343610000.0,264355590000.0,12851794521.0,4904387898.0,634991436569.0,2999603610.0,1580446422598.0
