row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,A. TÀI SẢN NGẮN HẠN,100,,3.074.821.310.675,1.830.247.912.323,100.0,,3074821310675.0,1830247912323.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,V.1,174.108.729.048,51.475.086.265,110.0,,174108729048.0,51475086265.0
Tiền,Tiền,Tiền,111,,24.108.729.048,51.475.086.265,111.0,,24108729048.0,51475086265.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,150.000.000.000,,112.0,,150000000000.0,
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,V.2,26.009.353.176,9.353.176,120.0,,26009353176.0,9353176.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,V.2.1,9.353.176,9.353.176,121.0,,9353176.0,9353176.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.2,26.000.000.000,,123.0,,26000000000.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,496.324.134.293,533.158.859.367,130.0,,496324134293.0,533158859367.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,V.3,358.810.111.115,358.388.230.021,131.0,,358810111115.0,358388230021.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,V.4,129.401.993.741,174.957.517.253,132.0,,129401993741.0,174957517253.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,V.5.1,10.273.044.064,3.581.346.115,136.0,,10273044064.0,3581346115.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,V.6,(2.161.014.627),(3.768.234.022),137.0,,-2161014627.0,-3768234022.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,V.7,2.032.863.740.895,1.098.217.021.489,140.0,,2032863740895.0,1098217021489.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,2.032.863.740.895,1.098.217.021.489,141.0,,2032863740895.0,1098217021489.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,345.515.353.263,147.387.592.026,150.0,,345515353263.0,147387592026.0
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,V.12,24.218.730.257,18.366.518.090,151.0,,24218730257.0,18366518090.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,V.14,321.296.623.006,125.614.659.708,152.0,,321296623006.0,125614659708.0
Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,V.14,,3.406.414.228,153.0,,,3406414228.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,3.315.400.685.304,1.742.139.716.920,200.0,,3315400685304.0,1742139716920.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,276.299.965,,210.0,,276299965.0,
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,V.5.2,276.299.965,,216.0,,276299965.0,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,1.884.716.357.611,1.473.596.270.971,220.0,,1884716357611.0,1473596270971.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,V.9,1.824.049.606.377,1.413.521.307.124,221.0,,1824049606377.0,1413521307124.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,2.412.329.860.708,1.837.053.563.214,222.0,,2412329860708.0,1837053563214.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(588.280.254.331),(423.532.256.090),223.0,,-588280254331.0,-423532256090.0
Tài sản cố định thuê tài chính,Tài sản cố định thuê tài chính,Tài sản cố định thuê tài chính,224,V.10,2.117.742.811,,224.0,,2117742811.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,225,,2.167.280.000,,225.0,,2167280000.0,
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,226,,(49.537.189),,226.0,,-49537189.0,
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,V.11,58.549.008.423,60.074.963.847,227.0,,58549008423.0,60074963847.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,67.044.625.508,67.044.625.508,228.0,,67044625508.0,67044625508.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(8.495.617.085),(6.969.661.661),229.0,,-8495617085.0,-6969661661.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,V.8,1.406.944.129.541,243.727.563.420,240.0,,1406944129541.0,243727563420.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,V.8,1.406.944.129.541,243.727.563.420,242.0,,1406944129541.0,243727563420.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,23.463.898.187,24.815.882.529,260.0,,23463898187.0,24815882529.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,V.12,23.463.685.102,24.815.882.529,261.0,,23463685102.0,24815882529.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,,213.085,,262.0,,213085.0,
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,,,,269.0,,,
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,6.390.221.995.979,3.572.387.629.243,270.0,,6390221995979.0,3572387629243.0
