row_label_raw,row_label_full,Công ty con,Địa chỉ,numeric__Địa chỉ
Công ty Cổ phần Ông thép Nam Kim,Công ty Cổ phần Ông thép Nam Kim,Công ty Cổ phần Ông thép Nam Kim,"Lô C2, 16 đến Lô C2, 20, Đường VL1, KCN Vĩnh Lộc 2, Xã Long Hiệp, Huyện Bến Lức, Tỉnh Long An",
Tỷ lệ sở hữu,Tỷ lệ sở hữu,Tỷ lệ sở hữu,: 95%,
Tỷ lệ biểu quyết,Tỷ lệ biểu quyết,Tỷ lệ biểu quyết,: 95%,
