row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số cuối năm > Tăng,Số cuối năm > Giảm,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số cuối năm > Tăng,numeric__Số cuối năm > Giảm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
- Vay dài hạn ngân hàng (a),- Vay dài hạn ngân hàng (a),- Vay dài hạn ngân hàng (a),1.488.404.650.348,1.488.404.650.348,1.348.045.459.555,671.603.019.925,811.962.210.718,811.962.210.718,1488404650348.0,1488404650348.0,1348045459555.0,671603019925.0,811962210718.0,811962210718.0
- Trái phiếu thường (b),- Trái phiếu thường (b),- Trái phiếu thường (b),370.000.000.000,370.000.000.000,370.000.000.000,,,,370000000000.0,370000000000.0,370000000000.0,,,
- Các khoản nợ thuê tài chính (c),- Các khoản nợ thuê tài chính (c),- Các khoản nợ thuê tài chính (c),1.638.131.754,,1.762.133.890,124.002.136,,,1638131754.0,,1762133890.0,124002136.0,,
Cộng,Cộng,Cộng,1.860.042.782.102,1.858.404.650.348,1.719.807.593.445,671.727.022.061,811.962.210.718,811.962.210.718,1860042782102.0,1858404650348.0,1719807593445.0,671727022061.0,811962210718.0,811962210718.0
(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính,,,,,,
,,,Số cuối năm,Số cuối năm,Phát sinh,Phát sinh,Số đầu năm,Số đầu năm,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Việt Nam đồng,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > Việt Nam đồng,Việt Nam đồng,1.434.456.891.628,1.434.456.891.628,1.298.422.468.835,485.924.794.676,621.959.217.469,621.959.217.469,1434456891628.0,1434456891628.0,1298422468835.0,485924794676.0,621959217469.0,621959217469.0
- NH TMCP Đông Á,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > - NH TMCP Đông Á,- NH TMCP Đông Á,,,,338.968.390.000,338.968.390.000,338.968.390.000,,,,338968390000.0,338968390000.0,338968390000.0
- NH Công Thương Việt Nam,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > - NH Công Thương Việt Nam,- NH Công Thương Việt Nam,3.150.000.000,3.150.000.000,3.500.000.000,350.000.000,,,3150000000.0,3150000000.0,3500000000.0,350000000.0,,
- NH Đầu tư và Phát triển VN,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > - NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,1.419.406.891.628,1.419.406.891.628,1.294.922.468.835,146.106.404.676,270.590.827.469,270.590.827.469,1419406891628.0,1419406891628.0,1294922468835.0,146106404676.0,270590827469.0,270590827469.0
- NH Ngoại thương Việt Nam,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > - NH Ngoại thương Việt Nam,- NH Ngoại thương Việt Nam,11.900.000.000,11.900.000.000,,500.000.000,12.400.000.000,12.400.000.000,11900000000.0,11900000000.0,,500000000.0,12400000000.0,12400000000.0
Đô la Mỹ,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > Đô la Mỹ,Đô la Mỹ,53.947.758.720,53.947.758.720,49.622.990.720,185.678.225.249,190.002.993.249,190.002.993.249,53947758720.0,53947758720.0,49622990720.0,185678225249.0,190002993249.0,190002993249.0
- NH TMCP Đông Á,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > - NH TMCP Đông Á,- NH TMCP Đông Á,,,,185.678.225.249,185.678.225.249,185.678.225.249,,,,185678225249.0,185678225249.0,185678225249.0
- NH Đầu tư và Phát triển VN,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > - NH Đầu tư và Phát triển VN,- NH Đầu tư và Phát triển VN,53.947.758.720,53.947.758.720,49.622.990.720,,4.324.768.000,4.324.768.000,53947758720.0,53947758720.0,49622990720.0,,4324768000.0,4324768000.0
Cộng,(*) Chi tiết các khoản vay và nợ thuê tài chính dài hạn như sau:a. Vay và nợ thuê tài chính > Cộng,Cộng,1.488.404.650.348,1.488.404.650.348,1.348.045.459.555,671.603.019.925,811.962.210.718,811.962.210.718,1488404650348.0,1488404650348.0,1348045459555.0,671603019925.0,811962210718.0,811962210718.0
