row_label_raw,row_label_full,Số cuối năm,< 1 năm > Số cuối năm,Từ 01 - 05 năm > Số cuối năm,> 5 năm > Số cuối năm,Cộng > Số cuối năm,numeric__< 1 năm > Số cuối năm,numeric__Từ 01 - 05 năm > Số cuối năm,numeric__> 5 năm > Số cuối năm,numeric__Cộng > Số cuối năm
Vay và nợ,Vay và nợ,Vay và nợ,2.295.882.606.236,1.860.042.782.102,,4.155.925.388.338,2295882606236.0,1860042782102.0,,4155925388338.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,440.639.330.513,,,440.639.330.513,440639330513.0,,,440639330513.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,18.267.868.106,,,18.267.868.106,18267868106.0,,,18267868106.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,4.808.904.719,,,4.808.904.719,4808904719.0,,,4808904719.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,132.739.235,1.299.090.000,,1.431.829.235,132739235.0,1299090000.0,,1431829235.0
Cộng,Cộng,Cộng,2.759.731.448.809,1.861.341.872.102,-,4.621.073.320.911,2759731448809.0,1861341872102.0,,4621073320911.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Vay và nợ,Số đầu năm > Vay và nợ,Vay và nợ,1.165.970.635.872,,811.962.210.718,1.977.932.846.590,1165970635872.0,,811962210718.0,1977932846590.0
Phải trả người bán,Số đầu năm > Phải trả người bán,Phải trả người bán,879.365.672.552,,,879.365.672.552,879365672552.0,,,879365672552.0
Phải trả người lao động,Số đầu năm > Phải trả người lao động,Phải trả người lao động,8.873.763.132,,,8.873.763.132,8873763132.0,,,8873763132.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,90.909.091,,,90.909.091,90909091.0,,,90909091.0
Các khoản phải trả khác,Số đầu năm > Các khoản phải trả khác,Các khoản phải trả khác,250.529.301,1.299.090.000,,1.549.619.301,250529301.0,1299090000.0,,1549619301.0
Cộng,Số đầu năm > Cộng,Cộng,2.054.551.509.948,1.299.090.000,811.962.210.718,2.867.812.810.666,2054551509948.0,1299090000.0,811962210718.0,2867812810666.0
