row_label_raw,row_label_full,Loại phát hành theo mệnh giá (*),Số cuối năm > Giá trị > 370.000.000.000,Số cuối năm > Lãi suất > Lãi suất linh hoạt,Số cuối năm > Kỳ hạn > 5 năm,Số đầu năm > Giá trị,Số đầu năm > Lãi suất,Số đầu năm > Kỳ hạn,numeric__Số cuối năm > Giá trị > 370.000.000.000,numeric__Số cuối năm > Lãi suất > Lãi suất linh hoạt,numeric__Số cuối năm > Kỳ hạn > 5 năm,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Lãi suất,numeric__Số đầu năm > Kỳ hạn
Cộng,Cộng,Cộng,370.000.000.000,,,,,,370000000000.0,,,,,
Ghi chú (*),Ghi chú (*),Ghi chú (*),Ghi chú (*),Ghi chú (*),Ghi chú (*),Ghi chú (*),Ghi chú (*),Ghi chú (*),,,,,,
"Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:","Năm 2016, Công ty thực hiện phát hành trái phiếu theo Nghị quyết số 01/2016/NQ-HĐQT ban hành ngày 04 tháng 01 năm 2016, cụ thể:",,,,,,
- Tổng mệnh giá trái phiếu phát hành,- Tổng mệnh giá trái phiếu phát hành,- Tổng mệnh giá trái phiếu phát hành,: 370.000.000.000 đồng,: 370.000.000.000 đồng,: 370.000.000.000 đồng,- Mệnh giá trái phiếu : 1.000.000.000 đồng/trái phiếu,- Mệnh giá trái phiếu : 1.000.000.000 đồng/trái phiếu,- Mệnh giá trái phiếu : 1.000.000.000 đồng/trái phiếu,,,,,,
- Loại trái phiếu,- Loại trái phiếu,- Loại trái phiếu,": Trái phiếu không chuyển đổi, không kèm chứng quyền và được đảm bảo bằng tài sản",": Trái phiếu không chuyển đổi, không kèm chứng quyền và được đảm bảo bằng tài sản",": Trái phiếu không chuyển đổi, không kèm chứng quyền và được đảm bảo bằng tài sản",": Trái phiếu không chuyển đổi, không kèm chứng quyền và được đảm bảo bằng tài sản",": Trái phiếu không chuyển đổi, không kèm chứng quyền và được đảm bảo bằng tài sản",": Trái phiếu không chuyển đổi, không kèm chứng quyền và được đảm bảo bằng tài sản",,,,,,
- Hình thức trái phiếu,- Hình thức trái phiếu,- Hình thức trái phiếu,: Bút toán ghi sổ,: Bút toán ghi sổ,: Bút toán ghi sổ,: Bút toán ghi sổ,: Bút toán ghi sổ,: Bút toán ghi sổ,,,,,,
- Lãi suất trái phiếu,- Lãi suất trái phiếu,- Lãi suất trái phiếu,": Có định kết hợp thả nổi, điều chỉnh 6 tháng/lần; kỳ tính lãi đầu tiên lãi suất là 10,9%/năm.",": Có định kết hợp thả nổi, điều chỉnh 6 tháng/lần; kỳ tính lãi đầu tiên lãi suất là 10,9%/năm.",": Có định kết hợp thả nổi, điều chỉnh 6 tháng/lần; kỳ tính lãi đầu tiên lãi suất là 10,9%/năm.",": Có định kết hợp thả nổi, điều chỉnh 6 tháng/lần; kỳ tính lãi đầu tiên lãi suất là 10,9%/năm.",": Có định kết hợp thả nổi, điều chỉnh 6 tháng/lần; kỳ tính lãi đầu tiên lãi suất là 10,9%/năm.",": Có định kết hợp thả nổi, điều chỉnh 6 tháng/lần; kỳ tính lãi đầu tiên lãi suất là 10,9%/năm.",,,,,,
- Thời hạn,- Thời hạn,- Thời hạn,: 5 năm từ ngày 06/08/2016 đến ngày 06/08/2021,: 5 năm từ ngày 06/08/2016 đến ngày 06/08/2021,: 5 năm từ ngày 06/08/2016 đến ngày 06/08/2021,: 5 năm từ ngày 06/08/2016 đến ngày 06/08/2021,: 5 năm từ ngày 06/08/2016 đến ngày 06/08/2021,: 5 năm từ ngày 06/08/2016 đến ngày 06/08/2021,,,,,,
- Phương thức phát hành,- Phương thức phát hành,- Phương thức phát hành,: Phát hành riêng lẻ thông qua đại lý phát hành,: Phát hành riêng lẻ thông qua đại lý phát hành,: Phát hành riêng lẻ thông qua đại lý phát hành,: Phát hành riêng lẻ thông qua đại lý phát hành,: Phát hành riêng lẻ thông qua đại lý phát hành,: Phát hành riêng lẻ thông qua đại lý phát hành,,,,,,
- Thanh toán lãi,- Thanh toán lãi,- Thanh toán lãi,: 6 tháng/ lần - Thanh toán gốc : Ngày đáo hạn,: 6 tháng/ lần - Thanh toán gốc : Ngày đáo hạn,: 6 tháng/ lần - Thanh toán gốc : Ngày đáo hạn,: 6 tháng/ lần - Thanh toán gốc : Ngày đáo hạn,: 6 tháng/ lần - Thanh toán gốc : Ngày đáo hạn,: 6 tháng/ lần - Thanh toán gốc : Ngày đáo hạn,,,,,,
