row_label_raw,row_label_full,STT,Chi tiết chi phí thuế TNDN,Năm nay,Năm trước,numeric__Chi tiết chi phí thuế TNDN,numeric__Năm nay,numeric__Năm trước
1,1,1,Chi phí thuế thu nhập CTCK hiện hành,,,,,
1.1,1 > 1.1,1.1,- Chi phí thuế thu nhập CTCK tính trên thu nhập chịu thuế năm hiện hành,50.054.776.776,40.927.278.553,,50054776776.0,40927278553.0
1.2,1.2,1.2,- Điều chỉnh chi phí Thuế thu nhập CTCK của các năm,,,,,
1.3,1.3,1.3,- Tổng chi phí thuế thu nhập CTCK hiện hành,,,,,
2,2,2,Chi phí thuế thu nhập CTCK hoãn lại,,,,,
