row_label_raw,row_label_full,Chỉ tiêu,Mã Số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã Số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A,A,A,B,C,1,2,,,1.0,2.0
A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT,,,,,,,,
1. Tài sản cố định thuê ngoài,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 1. Tài sản cố định thuê ngoài,1. Tài sản cố định thuê ngoài,001,,,,1.0,,,
2. Chứng chỉ có giá nhận giữ hộ,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 2. Chứng chỉ có giá nhận giữ hộ,2. Chứng chỉ có giá nhận giữ hộ,002,,,,2.0,,,
3. Tài sản nhận thế chấp,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 3. Tài sản nhận thế chấp,3. Tài sản nhận thế chấp,003,,,,3.0,,,
4. Nợ khó đòi đã xử lý,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 4. Nợ khó đòi đã xử lý,4. Nợ khó đòi đã xử lý,004,A.7.12,172.000.000,172.000.000,4.0,,172000000.0,172000000.0
5. Ngoại tệ các loại,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 5. Ngoại tệ các loại,5. Ngoại tệ các loại,005,,,,5.0,,,
6. Cổ phiếu đang lưu hành (số lượng),A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 6. Cổ phiếu đang lưu hành (số lượng),6. Cổ phiếu đang lưu hành (số lượng),006,,132.266.857,120.243.453,6.0,,132266857.0,120243453.0
7. Cổ phiếu quỹ (số lượng),A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 7. Cổ phiếu quỹ (số lượng),7. Cổ phiếu quỹ (số lượng),007,,492,598,7.0,,492.0,598.0
8. Tài sản tài chính niêm yết/dăng ký giao dịch tại VSD của CTCK,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 8. Tài sản tài chính niêm yết/dăng ký giao dịch tại VSD của CTCK,8. Tài sản tài chính niêm yết/dăng ký giao dịch tại VSD của CTCK,008,A.7.13,9.519.680.000,9.555.710.000,8.0,,9519680000.0,9555710000.0
9. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của CTCK,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 9. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của CTCK,9. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của CTCK,009,,,,9.0,,,
10. Tài sản tài chính chờ về của CTCK,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 10. Tài sản tài chính chờ về của CTCK,10. Tài sản tài chính chờ về của CTCK,010,A.7.14,47.050.000,2.690.000,10.0,,47050000.0,2690000.0
12. Tài sản tài chính chưa lưu ký tại VSD của CTCK,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 12. Tài sản tài chính chưa lưu ký tại VSD của CTCK,12. Tài sản tài chính chưa lưu ký tại VSD của CTCK,012,A.7.15,128.671.550.000,58.667.300.000,12.0,,128671550000.0,58667300000.0
13. Tài sản tài chính được hưởng quyền của CTCK,A. TÀI SẢN CỦA CTCK VÀ TÀI SẢN QUẢN LÝ THEO CAM KẾT > 13. Tài sản tài chính được hưởng quyền của CTCK,13. Tài sản tài chính được hưởng quyền của CTCK,013,A.7.16,830.000,760.000,13.0,,830000.0,760000.0
B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG,B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG,B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG,,,,,,,,
1. Tài sản tài chính niêm yết/dăng ký giao dịch tại VSD của Nhà đầu tư,B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG > 1. Tài sản tài chính niêm yết/dăng ký giao dịch tại VSD của Nhà đầu tư,1. Tài sản tài chính niêm yết/dăng ký giao dịch tại VSD của Nhà đầu tư,021,A.7.17,19.296.232.427.150,17.473.934.757.810,21.0,,19296232427150.0,17473934757810.0
a. Tài sản tài chính giao dịch tư do chuyển nhượng,B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG > a. Tài sản tài chính giao dịch tư do chuyển nhượng,a. Tài sản tài chính giao dịch tư do chuyển nhượng,021.1,,17.329.776.234.240,16.235.997.645.250,211.0,,17329776234240.0,16235997645250.0
b. Tài sản tài chính hạn chế chuyển nhượng,B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG > b. Tài sản tài chính hạn chế chuyển nhượng,b. Tài sản tài chính hạn chế chuyển nhượng,021.2,,226.017.430.000,154.923.690.000,212.0,,226017430000.0,154923690000.0
c. Tài sản tài chính giao dịch cầm cố,B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG > c. Tài sản tài chính giao dịch cầm cố,c. Tài sản tài chính giao dịch cầm cố,021.3,,954.823.470.000,881.652.450.000,213.0,,954823470000.0,881652450000.0
"d. Tài sản tài chính phong tỏa, tạm giữ","B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG > d. Tài sản tài chính phong tỏa, tạm giữ","d. Tài sản tài chính phong tỏa, tạm giữ",021.4,,1.226.000.000,1.226.000.000,214.0,,1226000000.0,1226000000.0
e. Tài sản tài chính chờ thanh toán,B. TÀI SẢN VÀ CÁC KHOĂN PHẢI TRẢ VỀ TÀI SẢN QUẢN LÝ CAM KẾT VỚI KHÁCH HÀNG > e. Tài sản tài chính chờ thanh toán,e. Tài sản tài chính chờ thanh toán,021.5,,784.389.292.910,200.134.972.560,215.0,,784389292910.0,200134972560.0
