row_label_raw,row_label_full,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_1,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_2,numeric__A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_1,numeric__A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_2
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
"1. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","Tài sản tài chính > 1. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","1. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng",8.549.090.000,10.601.270.000,8549090000.0,10601270000.0
"2. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","Tài sản tài chính > 2. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","2. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng",90.813.820.000,72.770.370.000,90813820000.0,72770370000.0
"3. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố","3. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố","3. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố",,,,
"4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tóa, tạm giữ","4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tóa, tạm giữ","4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tóa, tạm giữ",,,,
Cộng,"4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tóa, tạm giữ > Cộng",Cộng,99.362.910.000,83.371.640.000,99362910000.0,83371640000.0
A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính chờ về của Nhà đầu tư,Tài sản tài chính > Tài sản tài chính chờ về của Nhà đầu tư,Tài sản tài chính chờ về của Nhà đầu tư,752.515.068.130,177.202.904.280,752515068130.0,177202904280.0
Cộng,Tài sản tài chính > Cộng,Cộng,752.515.068.130,177.202.904.280,752515068130.0,177202904280.0
A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính được hưởng quyền của Nhà đầu tư,Tài sản tài chính > Tài sản tài chính được hưởng quyền của Nhà đầu tư,Tài sản tài chính được hưởng quyền của Nhà đầu tư,35.172.740.000,1.366.090.000,35172740000.0,1366090000.0
Cộng,Tài sản tài chính > Cộng,Cộng,35.172.740.000,1.366.090.000,35172740000.0,1366090000.0
