row_label_raw,row_label_full,STT,Chi tiết thu nhập khác,Năm nay,Năm trước,numeric__Chi tiết thu nhập khác,numeric__Năm nay,numeric__Năm trước
1,1,1,Thu nhập từ thanh lý TSCĐ,181.818,,,181818.0,
2,2,2,Doanh thu bán Token card,167.908.930,81.518.265,,167908930.0,81518265.0
3,3,3,Thu nhập từ phí c.tiền của NDT,1.981.526.411,1.315.878.165,,1981526411.0,1315878165.0
4,4,4,Thu nhập khác,21.883.484.963,15.225.072.747,,21883484963.0,15225072747.0
,,,Cộng,24.033.102.122,16.622.469.177,,24033102122.0,16622469177.0
