row_label_raw,row_label_full,STI,Các loại tài sản tài chính,Số cuối năm > Giá mua,Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,Số cuối năm > Giá trị đánh giá lại,Số đầu năm > Giá mua,Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,Số đầu năm > Giá trị đánh giá lại,numeric__Các loại tài sản tài chính,numeric__Số cuối năm > Giá mua,numeric__Số cuối năm > Giá trị thị trường hoặc giá trị hợp lý kỳ này,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch tăng,numeric__Số cuối năm > CL đánh giá kỳ này > Chênh lệch giảm,numeric__Số cuối năm > Giá trị đánh giá lại,numeric__Số đầu năm > Giá mua,numeric__Số đầu năm > Giá trị thị trường hoặc giá trị hợp lý kỳ trước,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch tăng,numeric__Số đầu năm > CL đánh giá kỳ trước > Chênh lệch giảm,numeric__Số đầu năm > Giá trị đánh giá lại
A,A,A,B,1,2,3=(2-1),4=(1-2),5=(1+3-4),6,7,8=(7-6),9=(6-7),10=(6+8-9),,1.0,2.0,,,,6.0,7.0,,,
1,1,1,FVTPL,,,,,,,,,,,,,,,,,,,,,
1,1 > 1,1,Cổ phiếu,16.639.036.734,260.640.853.484,244.072.379.960,70.563.210,260.640.853.484,16.702.133.559,290.351.407.947,273.772.018.565,122.744.177,290.351.407.947,,16639036734.0,260640853484.0,244072379960.0,70563210.0,260640853484.0,16702133559.0,290351407947.0,273772018565.0,122744177.0,290351407947.0
1.1,1 > 1.1,1.1,"Cổ phiếu niêm yết, đăng ký GD",14.628.932.563,258.630.749.313,244.072.379.960,70.563.210,258.630.749.313,14.695.643.726,288.344.918.114,273.772.018.565,122.744.177,288.344.918.114,,14628932563.0,258630749313.0,244072379960.0,70563210.0,258630749313.0,14695643726.0,288344918114.0,273772018565.0,122744177.0,288344918114.0
,,,MSH- Công ty cổ phần May Sông Hồng,13.450.000.000,257.256.000.000,243.806.000.000,,257.256.000.000,13.450.000.000,287.064.000.000,273.614.000.000,,287.064.000.000,,13450000000.0,257256000000.0,243806000000.0,,257256000000.0,13450000000.0,287064000000.0,273614000000.0,,287064000000.0
,,,Cổ phiếu niêm yết khác,1.178.932.563,1.374.749.313,266.379.960,70.563.210,1.374.749.313,1.245.643.726,1.280.918.114,158.018.565,122.744.177,1.280.918.114,,1178932563.0,1374749313.0,266379960.0,70563210.0,1374749313.0,1245643726.0,1280918114.0,158018565.0,122744177.0,1280918114.0
1.2,1 > 1.2,1.2,Cổ phiếu chưa niêm yết,2.010.104.171,2.010.104.171,,,2.010.104.171,2.006.489.833,2.006.489.833,,,2.006.489.833,,2010104171.0,2010104171.0,,,2010104171.0,2006489833.0,2006489833.0,,,2006489833.0
,,,CIC8 - CTCP đầu tư xây dựng số 8,2.000.000.000,2.000.000.000,,,2.000.000.000,2.000.000.000,2.000.000.000,,,2.000.000.000,,2000000000.0,2000000000.0,,,2000000000.0,2000000000.0,2000000000.0,,,2000000000.0
,,,Cổ phiếu chưa niêm yết khác,10.104.171,10.104.171,,,10.104.171,6.489.833,6.489.833,,,6.489.833,,10104171.0,10104171.0,,,10104171.0,6489833.0,6489833.0,,,6489833.0
2,1 > 2,2,Trái phiếu,70.000.000.000,70.000.000.000,,,70.000.000.000,,,,,,,70000000000.0,70000000000.0,,,70000000000.0,,,,,
,,,CTG2028T2/02-Trái phiếu Ngân hàng TMCP Công thương Việt Nam,50.000.000.000,50.000.000.000,,,50.000.000.000,,,,,,,50000000000.0,50000000000.0,,,50000000000.0,,,,,
,,,CTG2030T2/01-Trái Phiếu Ngân hàng TMCP Công Thương Việt Nam,20.000.000.000,20.000.000.000,,,20.000.000.000,,,,,,,20000000000.0,20000000000.0,,,20000000000.0,,,,,
3,1 > 3,3,Tiền gửi có kỳ hạn cổ định,178.000.000.000,178.000.000.000,,,178.000.000.000,180.000.000.000,180.000.000.000,,,180.000.000.000,,178000000000.0,178000000000.0,,,178000000000.0,180000000000.0,180000000000.0,,,180000000000.0
4,4,4,Chứng quyền,,,,,,,,,,,,,,,,,,,,,
II,II,II,AFS,,,,,,,,,,,,,,,,,,,,,
,,,Công,264.639.036.734,508.640.853.484,244.072.379.960,70.563.210,508.640.853.484,196.702.133.559,470.351.407.947,273.772.018.565,122.744.177,470.351.407.947,,264639036734.0,508640853484.0,244072379960.0,70563210.0,508640853484.0,196702133559.0,470351407947.0,273772018565.0,122744177.0,470351407947.0
