row_label_raw,row_label_full,STT,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán,Giá thị trường(*),Chênh lệch đánh giá lại kỳ này,Chênh lệch đánh giá lại kỳ trước,Chênh lệch điều chỉnh số kế toán kỳ này,numeric__Danh mục các loại tài sản tài chính,numeric__Giá trị mua theo số kế toán,numeric__Giá thị trường(*),numeric__Chênh lệch đánh giá lại kỳ này,numeric__Chênh lệch đánh giá lại kỳ trước,numeric__Chênh lệch điều chỉnh số kế toán kỳ này
A,A,A,B,C,D,E=D-C,F,G=E-F,,,,,,
1,A > 1,1,Loại FVTPL,264.639.036.734,508.640.853.484,244.001.816.750,273.649.274.388,(29.647.457.638),,264639036734.0,508640853484.0,244001816750.0,273649274388.0,-29647457638.0
1,A > 1,1,"Cổ phiếu niêm yết, đăng ký GD",14.628.932.563,258.630.749.313,244.001.816.750,273.649.274.388,(29.647.457.638),,14628932563.0,258630749313.0,244001816750.0,273649274388.0,-29647457638.0
2,A > 2,2,Cổ phiếu chưa niêm yết,2.010.104.171,2.010.104.171,,,,,2010104171.0,2010104171.0,,,
3,3,3,Trái phiếu niêm yết,,,,,,,,,,,
4,4,4,Trái phiếu chưa niêm yết,,,,,,,,,,,
5,4 > 5,5,Công cụ thị trường tiền tệ,178.000.000.000,178.000.000.000,,,,,178000000000.0,178000000000.0,,,
6,6,6,Chứng quyền,,,,,,,,,,,
7,7,7,Các khoản đầu tư phải sinh niêm yết,,,,,,,,,,,
8,8,8,Các khoản đầu tư phải sinh chưa niêm yết,,,,,,,,,,,
9,9,9,Các khoản đầu tư cho vay,,,,,,,,,,,
10,9 > 10,10,Các khoản đầu tư đem thế chấp,70.000.000.000,70.000.000.000,,,,,70000000000.0,70000000000.0,,,
11,11,11,Các khoản đầu tư mua chưa chuyển quyền sở hữu,,,,,,,,,,,
II,II,II,Loại HTM,,,,,,,,,,,
III,III,III,Loại các khoản cho vay và phải thu,,,,,,,,,,,
IV,IV,IV,Loại AFS,,,,,,,,,,,
,,,Cộng,264.639.036.734,508.640.853.484,244.001.816.750,273.649.274.388,(29.647.457.638),,264639036734.0,508640853484.0,244001816750.0,273649274388.0,-29647457638.0
