row_label_raw,row_label_full,STT,Các giao dịch và các khoản tiền,Năm nay,Năm trước,numeric__Các giao dịch và các khoản tiền,numeric__Năm nay,numeric__Năm trước
A,A,A,B,1,2,,1.0,2.0
,,,Tiền gửi ngân hàng cuối năm,,,,,
,,,-Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,3.057.660.225.224,826.920.717.575,,3057660225224.0,826920717575.0
,,,-Tiền gửi của Tổ chức phát hành,11.396.603.739,2.072.504.600,,11396603739.0,2072504600.0
,,,Tổng,3.069.056.828.963,828.993.222.175,,3069056828963.0,828993222175.0
