row_label_raw,row_label_full,7.3.2 Các khoản cho vay và phải thu,7.3.2 Các khoản cho vay và phải thu_1,7.3.2 Các khoản cho vay và phải thu_2,7.3.2 Các khoản cho vay và phải thu_3,7.3.2 Các khoản cho vay và phải thu_4,numeric__7.3.2 Các khoản cho vay và phải thu_1,numeric__7.3.2 Các khoản cho vay và phải thu_2,numeric__7.3.2 Các khoản cho vay và phải thu_3,numeric__7.3.2 Các khoản cho vay và phải thu_4
Khoản cho vay vàphải thu,Khoản cho vay vàphải thu,Khoản cho vay vàphải thu,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,
Khoản cho vay vàphải thu,Khoản cho vay vàphải thu,Khoản cho vay vàphải thu,Giá gốc,Giá trị hợp lý,Giá gốc,Giá trị hợp lý,,,,
Cho vay hoạt độngký quỹ,Khoản cho vay vàphải thu > Cho vay hoạt độngký quỹ,Cho vay hoạt độngký quỹ,2.223.220.795.799,2.212.335.173.495,1.708.255.790.726,1.697.370.002.997,2223220795799.0,2212335173495.0,1708255790726.0,1697370002997.0
Cho vay nghiệp vụứng trước,Khoản cho vay vàphải thu > Cho vay nghiệp vụứng trước,Cho vay nghiệp vụứng trước,255.727.112.342,255.727.112.342,95.034.081.484,95.034.081.484,255727112342.0,255727112342.0,95034081484.0,95034081484.0
Cho vay hoạt độnggiao dịch chứngkhoán phải sinh,Khoản cho vay vàphải thu > Cho vay hoạt độnggiao dịch chứngkhoán phải sinh,Cho vay hoạt độnggiao dịch chứngkhoán phải sinh,9.534.066,9.534.066,4.249.700,4.249.700,9534066.0,9534066.0,4249700.0,4249700.0
Cộng các khoảncho vay,Khoản cho vay vàphải thu > Cộng các khoảncho vay,Cộng các khoảncho vay,2.478.957.442.207,2.468.071.819.903,1.803.294.121.910,1.792.408.334.181,2478957442207.0,2468071819903.0,1803294121910.0,1792408334181.0
