row_label_raw,row_label_full,STT,Các loại doanh thu hoạt động khác,Năm nay,Năm trước,numeric__Các loại doanh thu hoạt động khác,numeric__Năm nay,numeric__Năm trước
1,1,1,Doanh thu đại lý đấu giá,894.556,113.500.724,,894556.0,113500724.0
2,2,2,"Doanh thu từ trả hộ gốc, lãi trái phiếu và cổ tức của TCPH",59.250.000,89.049.036,,59250000.0,89049036.0
3,3,3,Phí quản lý tài sản cảm cố,40.000.000,30.000.000,,40000000.0,30000000.0
4,4,4,Doanh thu khác,,,,,
Cộng,4 > Cộng,Cộng,Cộng,100.144.556,232.549.760,,100144556.0,232549760.0
