row_label_raw,row_label_full,STT,Loại chi phí quản lý CTCK,Năm nay,Năm trước,numeric__Loại chi phí quản lý CTCK,numeric__Năm nay,numeric__Năm trước
1,1,1,Chi phí lương và khác khoản khác theo lương,26.189.738.031,24.529.666.291,,26189738031.0,24529666291.0
,,,Trong đó chi phí lương của Tổng Giám đốc,768.960.000,768.960.000,,768960000.0,768960000.0
2,2,2,"BHXH, BHYT, KPCĐ, BHTN",2.243.013.200,2.065.977.600,,2243013200.0,2065977600.0
3,3,3,Chi phí đào tạo tuyến dụng,127.785.739,118.500.000,,127785739.0,118500000.0
4,4,4,Chi phí vất tư văn phòng,836.701.127,1.120.102.280,,836701127.0,1120102280.0
5,5,5,"Chi phí công cụ, dụng cụ",,,,,
6,5 > 6,6,Chi phí khấu hao TSCĐ,9.336.690.622,10.709.474.143,,9336690622.0,10709474143.0
7,5 > 7,7,"Chi phí thuế, phí và lệ phí",18.844.068,27.717.755,,18844068.0,27717755.0
8,8,8,Chi phí dự phòng và hoàn nhập dự phòng,,,,,
9,8 > 9,9,Chi phí dịch vụ mua ngoài,13.370.709.315,10.597.376.359,,13370709315.0,10597376359.0
10,8 > 10,10,Chi phí khác,1.070.916.302,2.889.592.405,,1070916302.0,2889592405.0
,,,Cộng,53.194.398.404,52.058.406.833,,53194398404.0,52058406833.0
